strategy,sltp_profile,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,7407,0.35898474416092885,1.0660748528200024,1389.0477138149463,0.1875317556115764,-609.1447077932435
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,8457,0.2708998462811872,1.048129183824958,879.6575967813008,0.10401532420258966,-596.7557763752284
Combo_H4Trend_OpeningRangeBreakout,RR2.0_SL1.5ATR,6232,0.3644094993581515,1.0479251537168468,735.0841071939177,0.11795316225833083,-403.38620045916826
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,7464,0.27264201500535906,1.0189488254141663,266.83120258576537,0.03574908930677457,-748.1361426393854
Combo_H1H4TrendAlign_EMA9_21Cross,RR2.0_SL1.5ATR,4173,0.35466091540857897,1.0013791997711015,15.240196000576134,0.003652095854439524,-610.826148203698
Combo_MACDCross_BollingerBreakout,RR2.0_SL1.5ATR,7795,0.3441949967928159,0.9986621768001613,-29.993855349650175,-0.0038478326298460775,-1091.2089840872054
Bollinger_Breakout,RR2.0_SL1.5ATR,9564,0.3372020075282309,0.9982733232982077,-46.690488743999595,-0.004881899701380133,-1724.697163060899
Bollinger_Breakout,RR3.0_SL1.0ATR,11495,0.2505437146585472,0.9798052475253008,-494.70350954950356,-0.04303640796428913,-2270.2893783803893
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,4298,0.3364355514192648,0.9768859768171801,-303.11715084767894,-0.07052516306367589,-856.7615567128909
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,9453,0.25748439648788746,0.973437212874754,-547.4624080796011,-0.057914144512810864,-1461.2554133094252
Donchian20_Breakout,RR2.0_SL1.5ATR,10664,0.33758439609902474,0.9673145007426979,-1026.7757099476935,-0.09628429388106653,-1852.7476306734454
Combo_EMACross_ATRVolatilityFilter,RR3.0_SL1.0ATR,4831,0.2562616435520596,0.9645540549587824,-400.821345935591,-0.08296860814232893,-898.875829469084
EMA9_21_Cross,RR2.0_SL1.5ATR,7141,0.3349670914437754,0.9634891023927737,-743.0296565590445,-0.10405120523162645,-1405.3713179748408
Combo_H1Trend_M15DonchianBreakout,RR1.5_SL1.0ATR,10278,0.41194784977622106,0.9630637309401131,-661.0808657307045,-0.06431999082805065,-1242.0257261635838
Combo_H1H4TrendAlign_EMA9_21Cross,RR3.0_SL1.0ATR,4542,0.27322765301629237,0.958937977049053,-378.63992078863055,-0.08336413931938146,-700.8675544424734
Session_ATR_Volatility_Breakout,RR2.0_SL1.5ATR,10262,0.33034496199571234,0.9523535105255866,-1231.9929578769763,-0.12005388402621091,-2610.1091206317014
Opening_Range_Breakout,RR2.0_SL1.5ATR,9349,0.3384319178521767,0.951662025146894,-1183.4842863857034,-0.12658939847959177,-1546.9234750664405
EMA9_21_Cross,RR3.0_SL1.0ATR,8842,0.25627686043881476,0.9497523387570455,-958.348388200522,-0.10838592945040963,-1457.1084180808202
Donchian20_Breakout,RR3.0_SL1.0ATR,12649,0.25171950351806466,0.9470519289245696,-1484.6624071024846,-0.11737389573108424,-2288.7521361995705
Opening_Range_Breakout,RR3.0_SL1.0ATR,11992,0.2537525016677785,0.9447938150923477,-1300.6975129789591,-0.10846376859397591,-2029.3333610467018
MACD_Cross,RR2.0_SL1.5ATR,10202,0.33415016663399333,0.9320380294380294,-2154.34778714742,-0.21116916164942365,-2232.186986926342
Combo_H4Trend_OpeningRangeBreakout,RR1.5_SL1.0ATR,8364,0.41104734576757535,0.9315793146225735,-869.5532839266117,-0.10396380726047486,-910.7844887096378
Bollinger_MeanReversion,RR2.0_SL1.5ATR,11139,0.3312685160247778,0.9250363085867516,-2594.5522986180113,-0.232925064962565,-3074.866623953847
MACD_Cross,RR3.0_SL1.0ATR,12619,0.24471035739757507,0.919478729388528,-2354.169125692858,-0.18655750263038734,-2892.889411336065
Bollinger_MeanReversion,RR3.0_SL1.0ATR,13082,0.2508790704785201,0.9174843030970167,-2496.0894350827775,-0.19080335079366897,-2829.5297876068284
Bollinger_Breakout,RR1.5_SL1.0ATR,13314,0.3941715487456812,0.9155684326679894,-1917.3340087559473,-0.14400886350878378,-2506.2474892031078
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,7673,0.3289456535905122,0.915503433875991,-1876.340638767785,-0.2445380736045595,-2076.0173927482406
Combo_H1H4TrendAlign_EMA9_21Cross,RR1.5_SL1.0ATR,4672,0.4139554794520548,0.9082916984134505,-698.1109566764985,-0.14942443422014096,-790.5231987432524
Combo_EMACross_ATRVolatilityFilter,RR1.5_SL1.0ATR,5041,0.40230113072803014,0.9081929878767898,-871.1679196526243,-0.1728164887229963,-1002.6207826642349
Combo_MACDCross_BollingerBreakout,RR1.5_SL1.0ATR,10957,0.4022998996075568,0.9037923639452932,-1838.9182247629294,-0.16783044855005289,-2157.860557597178
RSI_Reversion_30_70,RR2.0_SL1.5ATR,6453,0.3319386331938633,0.9019006978180762,-2087.8240506932234,-0.3235431660767431,-2122.1361385609634
EMA9_21_Cross,RR1.5_SL1.0ATR,9838,0.4005895507216914,0.9012001680068535,-1677.8548056011605,-0.17054836405785326,-1871.238690662356
MACD_Cross,RR1.5_SL1.0ATR,15641,0.39249408605587877,0.8928894192533786,-3038.4181259006855,-0.1942598379835487,-3581.5471418564734
Session_ATR_Volatility_Breakout,RR3.0_SL1.0ATR,13120,0.24253048780487804,0.8872503977010128,-2856.541096094641,-0.21772416890965252,-3359.42337000692
Donchian20_Breakout,RR1.5_SL1.0ATR,15808,0.3924595141700405,0.8845037564170182,-3268.683281579951,-0.20677399301492605,-3302.641038850563
Session_VWAP_Reversion,RR2.0_SL1.5ATR,126,0.3333333333333333,0.8822145817019291,-47.632586100022664,-0.37803639761922747,-103.63593747454266
Combo_EMA200Trend_RSI50Pullback,RR3.0_SL1.0ATR,9718,0.24717019962955342,0.8820980591362118,-2496.947036507896,-0.2569404235962025,-2599.9897862684234
RSI_Reversion_30_70,RR3.0_SL1.0ATR,7102,0.24162207828780624,0.879388046418553,-2128.2898558717015,-0.29967471921595346,-2167.8411348670347
Bollinger_MeanReversion,RR1.5_SL1.0ATR,15060,0.3934262948207171,0.8787116558004765,-3320.9749604196263,-0.2205162656321133,-3390.559154171166
Opening_Range_Breakout,RR1.5_SL1.0ATR,14469,0.39256341143133594,0.8687609755023011,-2989.581216417982,-0.20661975370917007,-3120.244390957493
Combo_RSIReversion_BollingerBand,RR3.0_SL1.0ATR,496,0.2560483870967742,0.8580480363766129,-184.74872413262494,-0.37247726639642126,-298.3911886767504
Combo_EMA200Trend_RSI50Pullback,RR1.5_SL1.0ATR,11168,0.39120702005730656,0.8531432016672631,-2855.0819651998913,-0.25564845676933123,-2891.873443203964
RSI_Reversion_30_70,RR1.5_SL1.0ATR,7196,0.3810450250138966,0.8493799340922759,-2182.859636352836,-0.3033434736454747,-2268.7516499965295
Session_VWAP_Reversion,RR1.5_SL1.0ATR,126,0.3888888888888889,0.84539685889878,-38.95266423625743,-0.3091481288591859,-54.16913878130973
Session_ATR_Volatility_Breakout,RR1.5_SL1.0ATR,15895,0.3865366467442592,0.8329472061721751,-4115.014927422999,-0.2588873814044038,-4205.804389120037
Combo_RSIReversion_BollingerBand,RR2.0_SL1.5ATR,494,0.33805668016194335,0.7836121369483074,-382.3672647986817,-0.7740228032361978,-483.38780510352177
Session_VWAP_Reversion,RR3.0_SL1.0ATR,126,0.25396825396825395,0.7407773789550793,-83.20617612783337,-0.6603664772050267,-90.15515443661931
Combo_RSIReversion_BollingerBand,RR1.5_SL1.0ATR,496,0.36693548387096775,0.7106362067155051,-324.95824884900287,-0.6551577597762155,-360.8615551429547
