strategy,sltp_profile,entry_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
Session_VWAP_Reversion,RR2.0_SL1.5ATR,Tokyo_London_Overlap,1,1.0,inf,3.1633464572178944,3.1633464572178944,0.0
Session_VWAP_Reversion,RR1.5_SL1.0ATR,Tokyo_London_Overlap,1,1.0,inf,1.5016732286088337,1.5016732286088337,0.0
Opening_Range_Breakout,RR2.0_SL1.5ATR,Sydney,2,1.0,inf,50.88131520059378,25.44065760029689,0.0
Session_VWAP_Reversion,RR3.0_SL1.0ATR,Tokyo_London_Overlap,1,1.0,inf,3.1633464572178944,3.1633464572178944,0.0
Opening_Range_Breakout,RR3.0_SL1.0ATR,Sydney,4,0.5,4.040705683951962,38.93104758018122,9.732761895045305,-9.347148925419404
Opening_Range_Breakout,RR1.5_SL1.0ATR,Sydney,8,0.625,2.743675944735017,31.94533699749297,3.993167124686621,-9.347148925419406
Combo_RSIReversion_BollingerBand,RR3.0_SL1.0ATR,Sydney,8,0.375,2.112552304969827,21.31577260117595,2.664471575146994,-7.570010735871911
Combo_RSIReversion_BollingerBand,RR2.0_SL1.5ATR,Sydney,8,0.5,1.6221089894179466,16.504310706798407,2.063038838349801,-11.320016103807866
Combo_RSIReversion_BollingerBand,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,117,0.27350427350427353,1.5059108813798534,87.64047249200733,0.7490638674530541,-29.238536079098612
Opening_Range_Breakout,RR1.5_SL1.0ATR,Tokyo_London_Overlap,2,0.5,1.4373325336982758,0.5395267328038971,0.26976336640194853,0.0
Combo_RSIReversion_BollingerBand,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,117,0.3418803418803419,1.3658259283701886,82.78599087169093,0.7075725715529139,-30.61616251445499
Session_VWAP_Reversion,RR2.0_SL1.5ATR,NewYork,17,0.4117647058823529,1.3551104708631962,27.442274485173378,1.6142514403043164,-33.271757622141266
Combo_H4Trend_OpeningRangeBreakout,RR1.5_SL1.0ATR,Sydney,2,0.5,1.3354991852956106,1.270957854072185,0.6354789270360925,-3.7882591367616443
Combo_H1H4TrendAlign_EMA9_21Cross,RR1.5_SL1.0ATR,Tokyo_London_Overlap,250,0.496,1.330421584000035,78.96522854316177,0.3158609141726471,-22.65177502607078
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,Sydney,19,0.5263157894736842,1.311625354708339,22.53317332435757,1.1859564907556617,-41.642903718719985
Combo_EMACross_ATRVolatilityFilter,RR1.5_SL1.0ATR,Tokyo_London_Overlap,261,0.47509578544061304,1.2960247279684698,86.8125307253703,0.3326150602504609,-52.4100195958345
Combo_H1H4TrendAlign_EMA9_21Cross,RR3.0_SL1.0ATR,Tokyo_London_Overlap,241,0.3029045643153527,1.2499216743760928,79.9518690852185,0.3317504941295374,-50.35460700985362
Bollinger_MeanReversion,RR2.0_SL1.5ATR,Sydney,210,0.4095238095238095,1.2476311514781104,152.1978691861966,0.7247517580295076,-92.20851201908266
Combo_EMACross_ATRVolatilityFilter,RR3.0_SL1.0ATR,Asia,117,0.2905982905982906,1.2425809951740339,44.436955745378455,0.3798030405587902,-41.50167819430285
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Asia,391,0.4040920716112532,1.2380350910951576,149.00082746853724,0.381076285085773,-57.529884808740846
RSI_Reversion_30_70,RR3.0_SL1.0ATR,Sydney,155,0.2903225806451613,1.2316357598282246,74.54089842880504,0.4809090221213228,-65.33104365505321
Combo_EMACross_ATRVolatilityFilter,RR1.5_SL1.0ATR,Asia,130,0.4076923076923077,1.212292394824891,32.59820697641701,0.25075543828013086,-28.380848736033407
Combo_H1H4TrendAlign_EMA9_21Cross,RR2.0_SL1.5ATR,Tokyo_London_Overlap,222,0.36936936936936937,1.198985084795949,76.27224109446796,0.3435686535786845,-49.31623974291813
RSI_Reversion_30_70,RR2.0_SL1.5ATR,Sydney,141,0.3829787234042553,1.1952078449510717,73.35383530368173,0.5202399666927783,-64.90215355085174
Combo_EMACross_ATRVolatilityFilter,RR3.0_SL1.0ATR,Tokyo_London_Overlap,244,0.26639344262295084,1.1917250142290476,72.20289588212592,0.2959135077136308,-43.95858575658807
Bollinger_Breakout,RR2.0_SL1.5ATR,Asia,567,0.36155202821869487,1.1639440576829247,167.00205421610565,0.2945362508220558,-83.27316805266706
EMA9_21_Cross,RR3.0_SL1.0ATR,Tokyo_London_Overlap,435,0.271264367816092,1.1603877514834748,103.22769847269713,0.23730505396022328,-68.97507277355123
Combo_MACDCross_BollingerBreakout,RR1.5_SL1.0ATR,Tokyo_London_Overlap,613,0.4469820554649266,1.1599308912469772,107.59277742767021,0.17551839710876055,-55.25940797645218
Combo_RSIReversion_BollingerBand,RR1.5_SL1.0ATR,Sydney_Tokyo_Overlap,117,0.41025641025641024,1.1587259065465518,22.727265513401548,0.1942501325931756,-31.16018403509054
EMA9_21_Cross,RR1.5_SL1.0ATR,Tokyo_London_Overlap,512,0.4609375,1.1480522812189329,84.78257799348867,0.16559097264353256,-47.93490998635323
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,London_NewYork_Overlap,2164,0.37707948243992606,1.1291331086923067,741.9154467417037,0.3428444763131718,-172.1757687067768
EMA9_21_Cross,RR3.0_SL1.0ATR,Asia,421,0.28028503562945367,1.1253847828112322,76.27275631076633,0.18117044254338796,-48.42469487141665
Combo_H1H4TrendAlign_EMA9_21Cross,RR2.0_SL1.5ATR,London_NewYork_Overlap,1027,0.37682570593963,1.1252021009146798,326.08276427687696,0.3175099944273388,-174.20480548484153
Donchian20_Breakout,RR2.0_SL1.5ATR,Asia,554,0.37364620938628157,1.124415445973851,126.71428268807081,0.2287261420362289,-91.83823215132752
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,NewYork,1448,0.26035911602209943,1.1225773302075088,727.6773797184328,0.5025396268773707,-373.01880147037076
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,2090,0.291866028708134,1.1170378156262992,510.6986167990725,0.24435340516702034,-289.7628252998188
Combo_H4Trend_OpeningRangeBreakout,RR2.0_SL1.5ATR,London_NewYork_Overlap,1820,0.37967032967032965,1.1160421411231065,572.7576193950077,0.3147019886785757,-267.1125811357185
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,2406,0.28428927680798005,1.1120860066165517,553.6699138701235,0.23012049620537137,-270.645949646587
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,Tokyo_London_Overlap,499,0.26452905811623245,1.1092632094534953,81.82175090223237,0.16397144469385244,-82.16073213032352
