strategy,sltp_profile,entry_session,exit_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
EMA9_21_Cross,RR1.5_SL1.0ATR,London,Sydney_Tokyo_Overlap,1,1.0,inf,1.9441056714367824,1.9441056714367824,0.0
Bollinger_MeanReversion,RR2.0_SL1.5ATR,Asia,Sydney,1,1.0,inf,45.48406498380537,45.48406498380537,0.0
Bollinger_MeanReversion,RR2.0_SL1.5ATR,Tokyo_London_Overlap,NewYork,2,1.0,inf,7.217400504791913,3.6087002523959564,0.0
Bollinger_MeanReversion,RR3.0_SL1.0ATR,Asia,Sydney,1,1.0,inf,45.48406498380537,45.48406498380537,0.0
Bollinger_MeanReversion,RR3.0_SL1.0ATR,Asia,Sydney_Tokyo_Overlap,1,1.0,inf,13.548701685773358,13.548701685773358,0.0
Bollinger_MeanReversion,RR3.0_SL1.0ATR,London,Sydney,2,1.0,inf,8.651165409148662,4.325582704574331,0.0
EMA9_21_Cross,RR2.0_SL1.5ATR,Asia,Sydney_Tokyo_Overlap,1,1.0,inf,4.630789066422904,4.630789066422904,0.0
EMA9_21_Cross,RR2.0_SL1.5ATR,London,Sydney,1,1.0,inf,9.74105342840774,9.74105342840774,0.0
Combo_RSIReversion_BollingerBand,RR1.5_SL1.0ATR,Sydney_Tokyo_Overlap,London,2,1.0,inf,6.168900830255506,3.084450415127753,0.0
Combo_RSIReversion_BollingerBand,RR2.0_SL1.5ATR,London,Sydney_Tokyo_Overlap,1,1.0,inf,8.978103060453241,8.978103060453241,0.0
Combo_RSIReversion_BollingerBand,RR2.0_SL1.5ATR,London_NewYork_Overlap,Sydney,1,1.0,inf,10.830495555903562,10.830495555903562,0.0
Bollinger_MeanReversion,RR3.0_SL1.0ATR,Sydney,London_NewYork_Overlap,3,1.0,inf,12.913381626427665,4.304460542142555,0.0
MACD_Cross,RR2.0_SL1.5ATR,London,Tokyo_London_Overlap,2,1.0,inf,10.465625086844074,5.232812543422037,0.0
MACD_Cross,RR2.0_SL1.5ATR,Sydney,NewYork,1,1.0,inf,8.648039049600548,8.648039049600548,0.0
Bollinger_Breakout,RR3.0_SL1.0ATR,Sydney,London_NewYork_Overlap,1,1.0,inf,3.3971690535891685,3.3971690535891685,0.0
MACD_Cross,RR2.0_SL1.5ATR,Tokyo_London_Overlap,NewYork,1,1.0,inf,4.456161175754787,4.456161175754787,0.0
MACD_Cross,RR3.0_SL1.0ATR,London,Sydney,1,1.0,inf,3.443855012220538,3.443855012220538,0.0
Bollinger_Breakout,RR3.0_SL1.0ATR,Asia,Sydney_Tokyo_Overlap,1,1.0,inf,4.810018418821264,4.810018418821264,0.0
EMA9_21_Cross,RR2.0_SL1.5ATR,Sydney,Tokyo_London_Overlap,1,1.0,inf,4.177128745166956,4.177128745166956,0.0
Combo_H1H4TrendAlign_EMA9_21Cross,RR3.0_SL1.0ATR,London,Sydney_Tokyo_Overlap,1,1.0,inf,19.504204945229684,19.504204945229684,0.0
Opening_Range_Breakout,RR2.0_SL1.5ATR,Sydney,Sydney,2,1.0,inf,50.88131520059378,25.44065760029689,0.0
Opening_Range_Breakout,RR1.5_SL1.0ATR,London,NewYork,1,1.0,inf,24.715341860730167,24.715341860730167,0.0
Bollinger_Breakout,RR2.0_SL1.5ATR,Asia,Sydney_Tokyo_Overlap,2,1.0,inf,11.23740065131041,5.618700325655205,0.0
Session_VWAP_Reversion,RR1.5_SL1.0ATR,London_NewYork_Overlap,NewYork,1,1.0,inf,2.190194899667185,2.190194899667185,0.0
Session_ATR_Volatility_Breakout,RR1.5_SL1.0ATR,Asia,London_NewYork_Overlap,1,1.0,inf,2.667737010181845,2.667737010181845,0.0
Session_VWAP_Reversion,RR1.5_SL1.0ATR,Tokyo_London_Overlap,Tokyo_London_Overlap,1,1.0,inf,1.5016732286088337,1.5016732286088337,0.0
Session_VWAP_Reversion,RR2.0_SL1.5ATR,NewYork,London_NewYork_Overlap,2,1.0,inf,39.767733163032155,19.883866581516077,0.0
Session_VWAP_Reversion,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,London_NewYork_Overlap,1,1.0,inf,6.948978308785963,6.948978308785963,0.0
Session_VWAP_Reversion,RR2.0_SL1.5ATR,Tokyo_London_Overlap,London,1,1.0,inf,3.1633464572178944,3.1633464572178944,0.0
Session_VWAP_Reversion,RR3.0_SL1.0ATR,NewYork,Sydney,1,1.0,inf,4.331751952872773,4.331751952872773,0.0
