Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
2,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1284.73,1287.77,1272.33,1301.86,50.22,9.72,0.00,-6.80,43.42,Sydney_Tokyo_Overlap,NO,2019.01.02 07:30:00,2019.01.03 07:30:00,0.18,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1272.33,1301.86,1272.33,1301.86,1240,1713,1240,1713,NO,0,NO,0,540,609,EXPERT_CLOSE
4,XAUUSD,BUY,BoS_1,24H_FORCE,1289.49,1296.03,1280.81,1306.68,106.42,10.54,0.00,-2.14,104.28,Sydney_Tokyo_Overlap,NO,2019.01.03 07:45:00,2019.01.04 07:45:00,0.17,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1272.91,1306.68,1280.81,1306.68,1658,1719,868,1719,YES,13,NO,0,903,499,Batas Waktu Hold Tercapai (24 jam >= Max 24 jam)
0,XAUUSD,SELL,REJECTED,REJECTED,1283.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2019.01.04 16:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
5,XAUUSD,BUY,BoS_2,HIT_SL,1293.36,1280.76,1280.76,1310.60,-218.28,9.18,0.00,-2.14,-220.42,NewYork,NO,2019.01.03 22:00:00,2019.01.04 16:39:07,0.17,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1278.75,1310.60,1280.76,1310.60,1461,1724,1260,1724,YES,3,NO,0,516,1254,STOP_LOSS
8,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1296.08,1290.80,1279.61,1313.36,-94.18,9.69,0.00,-2.14,-96.32,Sydney_Tokyo_Overlap,NO,2019.01.10 05:15:00,2019.01.11 05:15:00,0.17,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1278.80,1313.36,1279.61,1313.36,1728,1728,1647,1728,YES,2,NO,0,95,1005,EXPERT_CLOSE
0,XAUUSD,SELL,REJECTED,REJECTED,1284.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2019.01.18 11:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1280.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney,NO,2019.01.18 23:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1279.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2019.01.21 11:00:01,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,REJECTED,REJECTED,1283.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2019.01.22 10:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,REJECTED,REJECTED,1286.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2019.01.23 10:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
