=== Market Structure Events (Sorted by Time) ===,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
HH,Update,1282.10,2018.12.28 10:00:00,M15,Accepted,,
LL,Update,1275.94,2018.12.28 11:15:00,M15,Accepted,,
HH,Bullish,1284.02,2018.12.31 13:15:00,M15,Updated,1282.10,1970.01.01 00:00:00
HH,Update,1284.02,2018.12.31 13:15:00,M15,Accepted,,
LL,Update,1278.04,2018.12.31 20:15:00,M15,Accepted,,
CHoCH,Bullish,1284.02,2019.01.02 07:15:00,M15,Confirmed,1278.04,1970.01.01 00:00:00
HH,Update,1288.70,2019.01.02 11:15:00,M15,Accepted,,
LL,Update,1278.64,2019.01.02 20:45:00,M15,Accepted,,
HH,Bullish,1290.13,2019.01.03 01:00:00,M15,Updated,1288.70,1970.01.01 00:00:00
HH,Update,1290.13,2019.01.03 01:00:00,M15,Accepted,,
BoS,Bullish,1288.70,2019.01.03 07:30:00,M15,Confirmed,1278.64,1970.01.01 00:00:00
HH,Bullish,1292.26,2019.01.03 09:00:00,M15,Updated,1290.13,1970.01.01 00:00:00
HH,Update,1292.26,2019.01.03 09:00:00,M15,Accepted,,
LL,Update,1284.50,2019.01.03 15:15:00,M15,Accepted,,
BoS,Bullish,1292.26,2019.01.03 21:45:00,M15,Confirmed,1284.50,1970.01.01 00:00:00
HH,Bullish,1298.52,2019.01.04 03:30:00,M15,Updated,1292.26,1970.01.01 00:00:00
HH,Update,1298.52,2019.01.04 03:30:00,M15,Accepted,,
CHoCH,Bearish,1284.50,2019.01.04 16:15:00,M15,Confirmed,1298.52,1970.01.01 00:00:00
HH,Update,1298.52,2019.01.04 16:45:00,M15,Accepted,,
LL,Update,1276.54,2019.01.04 16:45:00,M15,Accepted,,
HH,Update,1295.03,2019.01.07 15:15:00,M15,Accepted,,
LL,Update,1280.01,2019.01.09 14:15:00,M15,Accepted,,
CHoCH,Bullish,1295.03,2019.01.10 05:00:00,M15,Confirmed,1280.01,1970.01.01 00:00:00
HH,Update,1297.03,2019.01.10 05:30:00,M15,Accepted,,
