Time,Open,High,Low,Close,Volume,Spread,EMA200
2020.01.02 04:00:00,1520.26,1520.36,1518.95,1520.19,2204,19,1483.67
2020.01.02 08:00:00,1520.20,1521.37,1518.38,1520.60,12678,17,1484.04
2020.01.02 12:00:00,1520.61,1529.01,1519.60,1528.04,12208,16,1484.48
2020.01.02 16:00:00,1528.04,1531.32,1522.75,1525.19,21885,14,1484.88
2020.01.02 20:00:00,1525.19,1529.01,1524.85,1528.77,6549,16,1485.32
2020.01.03 00:00:00,1528.25,1535.78,1527.86,1534.89,5158,14,1485.81
2020.01.03 04:00:00,1534.89,1543.80,1532.54,1541.42,15791,14,1486.37
2020.01.03 08:00:00,1541.42,1550.30,1540.12,1546.75,18893,14,1486.97
2020.01.03 12:00:00,1546.79,1551.46,1540.86,1546.25,21524,14,1487.56
2020.01.03 16:00:00,1546.29,1551.01,1544.03,1548.79,21794,14,1488.17
2020.01.03 20:00:00,1548.79,1553.43,1546.20,1551.44,11884,14,1488.80
2020.01.06 00:00:00,1575.89,1582.09,1566.91,1577.72,18349,14,1489.68
2020.01.06 04:00:00,1577.72,1579.46,1573.46,1574.88,13518,14,1490.53
2020.01.06 08:00:00,1574.85,1577.98,1570.13,1577.17,23975,14,1491.39
2020.01.06 12:00:00,1577.15,1579.31,1571.37,1574.17,22642,14,1492.21
2020.01.06 16:00:00,1574.28,1576.61,1560.70,1564.44,29527,14,1492.93
2020.01.06 20:00:00,1564.44,1568.46,1562.92,1565.63,10710,15,1493.66
2020.01.07 00:00:00,1564.53,1565.47,1556.48,1557.79,6627,13,1494.29
2020.01.07 04:00:00,1557.79,1562.93,1555.23,1562.43,11313,15,1494.97
2020.01.07 08:00:00,1562.43,1570.71,1562.31,1566.15,23947,15,1495.68
2020.01.07 12:00:00,1566.15,1569.59,1563.84,1568.14,18934,8,1496.40
2020.01.07 16:00:00,1568.14,1573.13,1565.60,1571.85,24593,7,1497.15
2020.01.07 20:00:00,1571.85,1577.32,1569.57,1573.24,10677,7,1497.91
2020.01.08 00:00:00,1575.99,1611.35,1575.08,1593.43,28612,7,1498.86
2020.01.08 04:00:00,1593.43,1595.28,1583.67,1594.46,24982,7,1499.81
2020.01.08 08:00:00,1594.36,1595.16,1579.16,1583.66,27233,7,1500.65
2020.01.08 12:00:00,1583.66,1584.76,1568.06,1576.73,27734,7,1501.40
2020.01.08 16:00:00,1576.76,1578.31,1552.65,1561.96,33067,7,1502.01
2020.01.08 20:00:00,1561.92,1562.29,1552.22,1556.36,15250,7,1502.55
2020.01.09 00:00:00,1554.75,1561.29,1553.81,1559.66,8931,8,1503.11
2020.01.09 04:00:00,1559.65,1560.76,1555.02,1555.34,9187,9,1503.63
2020.01.09 08:00:00,1555.27,1555.87,1540.20,1546.34,19864,7,1504.06
2020.01.09 12:00:00,1546.34,1556.53,1545.54,1549.80,18165,7,1504.51
2020.01.09 16:00:00,1549.77,1552.64,1544.69,1549.27,22204,9,1504.96
2020.01.09 20:00:00,1549.27,1555.09,1549.27,1552.08,9568,10,1505.43
2020.01.10 00:00:00,1552.91,1553.77,1547.49,1547.93,6642,9,1505.85
2020.01.10 04:00:00,1547.93,1549.32,1545.73,1548.33,6040,7,1506.27
2020.01.10 08:00:00,1548.33,1552.40,1546.17,1548.27,13567,9,1506.69
2020.01.10 12:00:00,1548.17,1556.58,1546.82,1548.66,16295,7,1507.11
2020.01.10 16:00:00,1548.67,1561.05,1547.69,1559.41,26047,7,1507.63
2020.01.10 20:00:00,1559.40,1563.13,1557.83,1561.76,10120,9,1508.17
2020.01.13 00:00:00,1559.55,1560.60,1554.27,1556.73,5866,7,1508.65
2020.01.13 04:00:00,1556.73,1557.56,1554.94,1555.14,6348,10,1509.11
2020.01.13 08:00:00,1555.13,1555.48,1546.51,1547.88,14083,7,1509.50
2020.01.13 12:00:00,1547.87,1556.09,1547.85,1554.69,14780,7,1509.95
2020.01.13 16:00:00,1554.69,1555.26,1548.62,1549.70,23874,7,1510.34
2020.01.13 20:00:00,1549.70,1550.43,1547.73,1548.34,7826,8,1510.72
2020.01.14 00:00:00,1548.13,1548.85,1535.96,1537.61,10429,9,1510.99
2020.01.14 04:00:00,1537.58,1540.51,1536.11,1537.94,9279,9,1511.26
2020.01.14 08:00:00,1537.95,1545.90,1536.35,1544.03,12970,9,1511.58
2020.01.14 12:00:00,1544.04,1546.71,1542.03,1544.10,16783,7,1511.91
2020.01.14 16:00:00,1544.10,1547.00,1540.91,1543.53,22811,7,1512.22
2020.01.14 20:00:00,1543.53,1548.80,1542.92,1546.25,12838,7,1512.56
2020.01.15 00:00:00,1546.37,1550.00,1546.27,1547.31,6449,8,1512.91
2020.01.15 04:00:00,1547.31,1553.34,1547.19,1553.16,7033,9,1513.31
2020.01.15 08:00:00,1553.16,1554.26,1550.23,1553.21,11426,10,1513.70
2020.01.15 12:00:00,1553.22,1554.82,1546.93,1554.76,13739,7,1514.11
2020.01.15 16:00:00,1554.76,1557.00,1548.68,1554.01,22818,7,1514.51
2020.01.15 20:00:00,1554.01,1558.17,1553.04,1556.22,12164,9,1514.93
2020.01.16 00:00:00,1555.18,1558.06,1554.73,1556.44,5163,10,1515.34
2020.01.16 04:00:00,1556.44,1557.09,1551.37,1551.68,6279,7,1515.70
2020.01.16 08:00:00,1551.68,1555.64,1551.57,1554.81,10977,7,1516.09
2020.01.16 12:00:00,1554.81,1557.49,1552.48,1554.27,12481,9,1516.47
2020.01.16 16:00:00,1554.25,1555.53,1547.98,1551.52,23792,7,1516.82
2020.01.16 20:00:00,1551.53,1554.07,1549.38,1552.46,6716,10,1517.17
2020.01.17 00:00:00,1552.29,1553.55,1549.33,1553.11,5171,9,1517.53
2020.01.17 04:00:00,1553.11,1556.93,1551.94,1555.60,6002,7,1517.91
2020.01.17 08:00:00,1555.59,1557.01,1554.05,1555.43,11650,10,1518.28
2020.01.17 12:00:00,1555.44,1560.73,1554.23,1555.34,15155,9,1518.65
2020.01.17 16:00:00,1555.33,1560.11,1554.01,1559.79,19185,7,1519.06
2020.01.17 20:00:00,1559.79,1561.21,1556.23,1556.83,7443,8,1519.44
2020.01.20 00:00:00,1559.00,1559.01,1556.35,1557.61,4970,14,1519.82
2020.01.20 04:00:00,1557.61,1562.21,1556.92,1561.86,5526,7,1520.23
2020.01.20 08:00:00,1561.86,1562.76,1559.25,1560.43,8320,7,1520.63
2020.01.20 12:00:00,1560.42,1560.96,1558.24,1560.38,6084,12,1521.03
2020.01.20 16:00:00,1560.37,1561.19,1559.31,1560.50,6444,10,1521.42
2020.01.21 00:00:00,1560.88,1567.82,1559.97,1566.58,6696,8,1521.87
2020.01.21 04:00:00,1566.58,1568.59,1564.57,1565.64,8863,7,1522.31
2020.01.21 08:00:00,1565.63,1567.17,1552.57,1555.84,16507,7,1522.64
2020.01.21 12:00:00,1555.84,1557.85,1550.77,1553.28,16818,7,1522.95
2020.01.21 16:00:00,1553.29,1558.73,1546.30,1557.07,22918,9,1523.29
2020.01.21 20:00:00,1557.07,1559.96,1554.36,1557.91,12925,9,1523.63
2020.01.22 00:00:00,1558.01,1558.13,1553.02,1554.65,6574,11,1523.94
2020.01.22 04:00:00,1554.65,1554.69,1550.15,1550.91,9325,8,1524.21
2020.01.22 08:00:00,1550.92,1558.01,1550.53,1557.03,11162,9,1524.53
2020.01.22 12:00:00,1557.03,1559.22,1554.57,1556.10,13798,7,1524.85
2020.01.22 16:00:00,1556.17,1558.98,1554.85,1557.75,20503,7,1525.18
2020.01.22 20:00:00,1557.75,1559.11,1556.32,1558.60,7273,8,1525.51
2020.01.23 00:00:00,1558.55,1563.71,1558.18,1559.90,8843,10,1525.85
2020.01.23 04:00:00,1559.91,1560.88,1555.21,1557.84,9556,7,1526.17
2020.01.23 08:00:00,1557.84,1558.13,1552.96,1554.26,14538,7,1526.45
2020.01.23 12:00:00,1554.26,1557.56,1551.85,1556.85,11489,7,1526.75
2020.01.23 16:00:00,1556.85,1567.85,1554.55,1567.30,24719,7,1527.15
2020.01.23 20:00:00,1567.29,1567.91,1560.32,1562.80,11341,8,1527.51
2020.01.24 00:00:00,1561.79,1562.69,1559.56,1561.87,4562,7,1527.85
2020.01.24 04:00:00,1561.88,1562.27,1559.37,1560.49,3658,10,1528.18
2020.01.24 08:00:00,1560.49,1561.44,1557.48,1561.23,11568,8,1528.50
2020.01.24 12:00:00,1561.23,1562.95,1556.49,1561.38,13839,9,1528.83
2020.01.24 16:00:00,1561.44,1575.95,1559.70,1571.63,28474,7,1529.26
2020.01.24 20:00:00,1571.62,1575.74,1569.52,1570.90,19609,8,1529.67
2020.01.27 00:00:00,1580.71,1588.28,1577.30,1581.11,12253,7,1530.18
2020.01.27 04:00:00,1581.11,1583.08,1577.93,1580.51,7214,12,1530.68
2020.01.27 08:00:00,1580.51,1583.61,1575.87,1582.65,16083,8,1531.20
