Time,Open,High,Low,Close,Volume,Spread,EMA200
2025.01.02 01:00:00,2624.48,2625.29,2624.01,2624.68,528,73,2616.50
2025.01.02 01:15:00,2624.69,2624.92,2623.51,2623.74,405,17,2616.58
2025.01.02 01:30:00,2623.71,2623.93,2621.56,2621.56,284,14,2616.63
2025.01.02 01:45:00,2621.84,2624.33,2621.48,2623.74,333,14,2616.70
2025.01.02 02:00:00,2623.78,2626.20,2622.82,2625.77,518,14,2616.79
2025.01.02 02:15:00,2625.77,2626.49,2625.26,2626.40,600,14,2616.88
2025.01.02 02:30:00,2626.38,2627.57,2625.45,2626.84,615,13,2616.98
2025.01.02 02:45:00,2626.87,2627.80,2625.30,2625.33,793,13,2617.06
2025.01.02 03:00:00,2625.35,2630.88,2623.80,2629.59,1354,13,2617.19
2025.01.02 03:15:00,2629.40,2633.01,2629.33,2632.59,1080,13,2617.34
2025.01.02 03:30:00,2632.55,2634.35,2632.26,2633.43,897,17,2617.50
2025.01.02 03:45:00,2633.12,2633.48,2631.62,2632.90,1141,13,2617.66
2025.01.02 04:00:00,2632.92,2634.71,2632.58,2634.54,927,13,2617.82
2025.01.02 04:15:00,2634.59,2636.37,2633.92,2635.63,658,13,2618.00
2025.01.02 04:30:00,2635.70,2635.76,2632.63,2633.39,1007,14,2618.15
2025.01.02 04:45:00,2633.40,2635.32,2632.31,2634.72,862,15,2618.32
2025.01.02 05:00:00,2634.70,2635.32,2633.06,2633.12,959,14,2618.47
2025.01.02 05:15:00,2633.11,2634.72,2632.99,2633.37,922,13,2618.61
2025.01.02 05:30:00,2633.35,2634.14,2632.30,2633.43,725,13,2618.76
2025.01.02 05:45:00,2633.43,2633.84,2632.68,2633.66,565,13,2618.91
2025.01.02 06:00:00,2633.68,2633.71,2632.11,2632.38,482,13,2619.04
2025.01.02 06:15:00,2632.55,2633.21,2632.16,2632.48,422,13,2619.18
2025.01.02 06:30:00,2632.47,2632.88,2632.07,2632.18,393,13,2619.31
2025.01.02 06:45:00,2632.18,2634.20,2631.10,2633.96,657,14,2619.45
