Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
1,XAUUSD,BUY,CHoCH,24H_FORCE,1528.2,1546.29,1530.56,1564.53,271.35,2.85,0,-1.88,266.62,CHOCH,NO,2020.01.02 16:00:00,2020.01.03 16:00:00,0.15,111,M15,CLOSED,,0,0.5,YES,,1511.59,1548.58,1530.56,1564.53,1661,2038,236,3633,YES,6,YES,2,2326,545,24H_FORCE
2,XAUUSD,BUY,BoS_1,24H_FORCE,1532.46,1575.89,1531.01,1560.34,651.45,0.25,0,-0.63,650.57,Sydney_Tokyo_Overlap,NO,2020.01.03 03:45:00,2020.01.06 01:00:00,0.15,111,M15,CLOSED,,0,0.5,YES,,1515.94,1552.89,1531.01,1560.34,1652,2043,145,2788,YES,6,YES,1,4963,45,24H_FORCE
3,XAUUSD,BUY,BoS_2,24H_FORCE,1575.09,1564.23,1557.98,1596.09,-152.04,2.8,0,-1.75,-156.59,Sydney_Tokyo_Overlap,NO,2020.01.06 01:15:00,2020.01.07 01:15:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1554.09,1596.09,1557.98,1596.09,2100,2100,1711,2100,YES,2,NO,0,487,1439,24H_FORCE
6,XAUUSD,BUY,CHoCH,HIT_TP1,1572.67,1593.64,1563.5,1593.64,293.57,1.54,0,-1.75,290.28,CHOCH,NO,2020.01.07 19:15:00,2020.01.08 01:30:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1556.22,1593.64,1563.5,1593.64,1645,2097,917,2097,YES,1,NO,0,2551,310,TP
9,XAUUSD,BUY,CHoCH,24H_FORCE,1558.72,1559.55,1541.81,1579.5,11.62,1.54,0,-1.75,8.33,CHOCH,NO,2020.01.10 18:00:00,2020.01.13 01:00:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1537.94,1579.5,1541.81,1579.5,2078,2078,1691,2078,YES,2,NO,0,441,92,24H_FORCE
11,XAUUSD,BUY,CHoCH,24H_FORCE,1557.97,1552.39,1537.2,1578.74,-78.12,1.4,0,-1.75,-81.27,CHOCH,NO,2020.01.16 02:15:00,2020.01.17 02:15:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1537.2,1578.74,1537.2,1578.74,2077,2077,2077,2077,NO,0,NO,0,7,999,24H_FORCE
12,XAUUSD,BUY,BoS_1,24H_FORCE,1558.09,1559,1541.06,1578.86,12.74,0.25,0,-1.26,11.23,London_NewYork_Overlap,NO,2020.01.17 14:30:00,2020.01.20 01:00:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1541.06,1578.86,1541.06,1578.86,1703,2077,1703,2077,NO,0,NO,0,312,408,24H_FORCE
13,XAUUSD,BUY,BoS_2,24H_FORCE,1561.89,1565.63,1549.29,1582.72,52.36,0.25,0,-3.78,48.33,Asia,NO,2020.01.20 08:00:00,2020.01.21 08:00:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1549.29,1582.72,1549.29,1582.72,1260,2083,1260,2083,NO,0,NO,0,670,365,24H_FORCE
16,XAUUSD,BUY,CHoCH,24H_FORCE,1561.3,1562.1,1547.63,1582.12,11.2,2.1,0,-1.75,7.35,CHOCH,NO,2020.01.23 01:30:00,2020.01.24 01:30:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1547.63,1582.12,1547.63,1582.12,1367,2082,1367,2082,NO,0,NO,0,661,945,24H_FORCE
18,XAUUSD,BUY,CHoCH,24H_FORCE,1566.29,1572.25,1553.96,1587.17,83.44,1.54,0,-1.75,80.15,CHOCH,NO,2020.01.23 18:30:00,2020.01.24 18:30:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1545.41,1587.17,1553.96,1587.17,2088,2088,1233,2088,YES,1,NO,0,920,980,24H_FORCE
19,XAUUSD,BUY,BoS_1,24H_FORCE,1574.87,1580.71,1553.87,1595.87,81.76,0.25,0,-9.45,72.06,London_NewYork_Overlap,NO,2020.01.24 17:30:00,2020.01.27 01:00:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1553.87,1595.87,1553.87,1595.87,2100,2100,2100,2100,NO,0,NO,0,1341,603,24H_FORCE
21,XAUUSD,BUY,CHoCH,24H_FORCE,1584.71,1578.94,1568.83,1605.84,-80.78,1.68,0,-1.75,-84.21,CHOCH,NO,2020.01.27 12:45:00,2020.01.28 12:45:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1568.83,1605.84,1568.83,1605.84,1588,2113,1588,2113,NO,0,NO,0,157,785,24H_FORCE
23,XAUUSD,BUY,CHoCH,24H_FORCE,1583.72,1588.05,1567.11,1604.84,60.62,1.82,0,-1.75,57.05,CHOCH,NO,2020.01.30 18:00:00,2020.01.31 18:00:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1565.18,1604.84,1567.11,1604.84,1854,2112,1661,2112,YES,1,NO,0,537,1285,24H_FORCE
25,XAUUSD,BUY,CHoCH,24H_FORCE,1588.33,1588.65,1568.61,1609.51,4.48,1.68,0,-1.75,1.05,CHOCH,NO,2020.01.31 18:00:00,2020.02.03 01:00:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1567.15,1609.51,1568.61,1609.51,2118,2118,1972,2118,YES,1,NO,0,367,738,24H_FORCE
28,XAUUSD,BUY,BoS_1,24H_FORCE,1569.14,1569.27,1555.89,1590.06,1.82,0.25,0,-4.41,-2.84,London,NO,2020.02.07 12:15:00,2020.02.10 01:00:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1555.89,1590.06,1555.89,1590.06,1325,2092,1325,2092,NO,0,NO,0,491,906,24H_FORCE
29,XAUUSD,BUY,BoS_2,24H_FORCE,1574.86,1571.97,1558.12,1595.86,-40.46,0.25,0,-5.67,-46.38,Sydney_Tokyo_Overlap,NO,2020.02.10 02:00:00,2020.02.11 02:00:00,0.14,111,M15,CLOSED,,0,0.5,YES,,1558.12,1595.86,1558.12,1595.86,1674,2100,1674,2100,NO,0,NO,0,215,690,24H_FORCE
