Ticket,Symbol,Type,EntryStructure,CloseType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
2,XAUUSD,BUY,CHoCH,PROFIT_TARGET,1528.07,1548.33,1526.81,1556.45,300.30,7.80,0.00,-1.89,298.41,London_NewYork_Overlap,NO,2020.01.02 16:00:00,2020.01.03 11:43:47,0.15,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1511.59,1548.44,1526.81,1556.45,1648,2037,126,2838,YES,11,YES,1,2026,532,Profit >= 300.00 USD (Running: 300.30 USD, Hold: 19 jam)
3,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1532.46,1552.69,1530.51,1560.34,300.00,7.65,0.00,0.00,300.00,Sydney_Tokyo_Overlap,NO,2020.01.03 03:45:00,2020.01.03 20:38:25,0.15,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1515.94,1552.89,1530.51,1560.34,1652,2043,195,2788,YES,11,YES,1,2022,45,EXPERT_CLOSE
6,XAUUSD,BUY,BoS_2,EXPERT_CLOSE,1575.00,1564.23,1557.97,1596.00,-152.74,12.32,0.00,-1.76,-154.50,Sydney_Tokyo_Overlap,NO,2020.01.06 01:15:00,2020.01.07 01:15:01,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1554.00,1596.00,1557.97,1596.00,2100,2100,1703,2100,YES,4,NO,0,496,1430,EXPERT_CLOSE
8,XAUUSD,BUY,CHoCH,HIT_TP1,1572.59,1593.99,1563.50,1593.56,297.08,7.56,0.00,-1.76,295.32,NewYork,NO,2020.01.07 19:15:00,2020.01.08 01:41:22,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1556.22,1593.56,1563.50,1593.56,1637,2097,909,2097,YES,1,NO,0,2082,302,TAKE_PROFIT
0,XAUUSD,SELL,REJECTED,REJECTED,1554.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2020.01.08 18:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,REJECTED,REJECTED,1550.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,NO,2020.01.09 08:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
10,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1558.63,1559.55,1539.43,1579.41,10.22,11.34,0.00,-1.76,8.46,NewYork,NO,2020.01.10 18:00:00,2020.01.13 01:05:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1537.85,1579.41,1539.43,1579.41,2078,2078,1920,2078,YES,2,NO,0,450,83,EXPERT_CLOSE
0,XAUUSD,SELL,REJECTED,REJECTED,1545.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2020.01.14 02:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,CHoCH H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
12,XAUUSD,BUY,CHoCH,EXPERT_CLOSE,1557.87,1552.33,1537.29,1578.64,-80.22,6.02,0.00,-1.76,-81.98,Sydney_Tokyo_Overlap,NO,2020.01.16 02:15:01,2020.01.17 02:15:01,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1537.10,1578.64,1537.29,1578.64,2077,2077,2058,2077,YES,1,NO,0,17,989,EXPERT_CLOSE
14,XAUUSD,BUY,BoS_1,EXPERT_CLOSE,1558.09,1559.00,1541.06,1578.86,10.08,6.44,0.00,-1.76,8.32,London_NewYork_Overlap,NO,2020.01.17 14:30:00,2020.01.20 01:05:00,0.14,12345,M15,EXECUTED,N/A,0.00,0.00,YES,DISABLED,1541.06,1578.86,1541.06,1578.86,1703,2077,1703,2077,NO,0,NO,0,312,408,EXPERT_CLOSE
0,XAUUSD,BUY,REJECTED,REJECTED,1565.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2020.01.21 03:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Max BOS Cycle Limit (2),0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
