Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
3,XAUUSD,BUY,4479.57,4449.55,4449.73,4509.57,-150.90,0.25,0.00,-0.63,-151.53,London_NewYork_Overlap,NO,2026.01.06 16:45:00,2026.01.07 07:43:35,0.01,12345,M15,EXECUTED,N/A,0.71,0.40,YES,H4_STRETCHED_STRICT,4449.57,4509.57,4449.73,4509.57,3000,3000,2984,3000,YES,32,NO,0,2085,2955,STOP_LOSS
2,XAUUSD,BUY,4459.54,4429.52,4429.64,4514.64,-150.60,0.25,0.00,-0.63,-151.23,Sydney_Tokyo_Overlap,NO,2026.01.06 04:15:00,2026.01.07 15:09:53,0.01,12345,M15,EXECUTED,N/A,0.75,0.40,YES,H4_STRETCHED_STRICT,4429.54,4489.54,4429.64,4514.64,3000,3000,2990,5510,YES,102,YES,2,4088,2938,STOP_LOSS
0,XAUUSD,SELL,4418.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2026.01.08 07:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,4412.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.01.08 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
6,XAUUSD,BUY,4486.98,4517.03,4475.45,4516.98,149.40,0.25,0.00,0.00,149.40,London_NewYork_Overlap,NO,2026.01.09 15:45:00,2026.01.09 17:42:05,0.01,12345,M15,EXECUTED,N/A,0.44,0.40,YES,H4_STRETCHED_STRICT,4456.98,4516.98,4475.45,4516.98,3000,3000,1153,3000,YES,7,NO,0,2994,793,TAKE_PROFIT
8,XAUUSD,BUY,4530.05,4577.40,4534.67,4577.19,235.85,0.25,0.00,0.00,235.85,Sydney_Tokyo_Overlap,NO,2026.01.12 01:15:00,2026.01.12 02:32:29,0.01,12345,M15,EXECUTED,N/A,0.63,0.40,YES,H4_STRETCHED_STRICT,4500.05,4560.05,4534.67,4577.19,3000,3000,-462,4714,YES,5,YES,1,4706,86,TAKE_PROFIT
0,XAUUSD,SELL,4591.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2026.01.15 05:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,4565.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2026.01.16 17:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
10,XAUUSD,BUY,4695.28,4755.56,4715.23,4773.66,300.60,0.25,0.00,0.00,300.60,Sydney_Tokyo_Overlap,NO,2026.01.20 07:00:00,2026.01.20 18:57:00,0.01,12345,M15,EXECUTED,N/A,0.67,0.40,YES,H4_STRETCHED_STRICT,4665.28,4725.28,4715.23,4773.66,3000,3000,-1995,7838,YES,46,YES,3,6028,102,EXPERT_CLOSE
12,XAUUSD,BUY,4971.10,5008.06,4952.28,5001.10,184.15,0.25,0.00,-0.63,183.52,NewYork,NO,2026.01.23 18:15:00,2026.01.26 01:00:12,0.01,12345,M15,EXECUTED,N/A,0.60,0.40,YES,H4_STRETCHED_STRICT,4941.10,5001.10,4952.28,5001.10,3000,3000,1882,3000,YES,17,NO,0,1892,1278,TAKE_PROFIT
14,XAUUSD,BUY,5141.91,5172.03,5112.37,5171.91,151.00,0.25,0.00,0.00,151.00,NewYork,NO,2026.01.27 22:15:00,2026.01.27 22:53:25,0.01,12345,M15,EXECUTED,N/A,0.95,0.40,YES,H4_STRETCHED_STRICT,5111.91,5171.91,5112.37,5171.91,3000,3000,2954,3000,YES,1,NO,0,2981,997,TAKE_PROFIT
0,XAUUSD,SELL,5096.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2026.01.30 10:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,SELL,4914.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2026.01.30 19:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
16,XAUUSD,BUY,5015.75,4985.67,4985.75,5045.75,-151.35,0.25,0.00,0.00,-151.35,Sydney_Tokyo_Overlap,NO,2026.02.04 03:00:00,2026.02.04 03:00:11,0.01,12345,M15,EXECUTED,N/A,0.98,0.40,YES,H4_STRETCHED_STRICT,4985.75,5045.75,4985.75,5045.75,3000,3000,3000,3000,NO,0,NO,0,164,2925,STOP_LOSS
0,XAUUSD,SELL,4764.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney,NO,2026.02.05 23:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
18,XAUUSD,BUY,5056.05,5015.69,5028.07,5124.21,-202.10,0.25,0.00,-0.63,-202.73,London_NewYork_Overlap,NO,2026.02.09 17:45:00,2026.02.10 01:10:11,0.01,12345,M15,EXECUTED,N/A,0.99,0.40,YES,H4_STRETCHED_STRICT,5026.05,5086.05,5028.07,5124.21,3000,3000,2798,6816,YES,21,YES,1,3056,2137,STOP_LOSS
20,XAUUSD,BUY,5100.12,5069.00,5070.20,5130.12,-156.00,0.25,0.00,0.00,-156.00,London,NO,2026.02.11 12:45:00,2026.02.11 14:41:10,0.01,12345,M15,EXECUTED,N/A,0.89,0.40,YES,H4_STRETCHED_STRICT,5070.12,5130.12,5070.20,5130.12,3000,3000,2992,3000,YES,5,NO,0,1901,2825,STOP_LOSS
