Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason
2,XAUUSD,BUY,1532.46,1575.89,1502.46,1562.46,216.45,0.25,0.00,-0.63,215.82,Asia,2020.01.03 03:45:00,2020.01.06 01:05:00,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1550.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2020.01.09 08:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
4,XAUUSD,BUY,1561.89,1591.89,1537.98,1591.89,149.35,0.25,0.00,-8.82,140.53,London,2020.01.20 08:00:00,2020.02.03 01:11:41,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1567.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2020.02.04 11:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
6,XAUUSD,BUY,1588.26,1560.84,1560.87,1618.26,-136.65,0.25,0.00,-1.26,-137.91,NewYork,2020.01.31 18:00:00,2020.02.04 15:58:18,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1564.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2020.02.11 17:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
5,XAUUSD,BUY,1566.20,1596.21,1536.30,1596.20,149.75,0.25,0.00,-15.12,134.63,NewYork,2020.01.23 18:30:00,2020.02.18 17:28:26,0.01,12345,M15,EXECUTED,N/A
9,XAUUSD,BUY,1569.14,1599.15,1539.14,1599.14,149.50,0.25,0.00,-5.67,143.83,London,2020.02.07 12:15:00,2020.02.18 17:42:38,0.01,12345,M15,EXECUTED,N/A
10,XAUUSD,BUY,1579.93,1609.94,1563.02,1609.93,150.15,0.25,0.00,-1.89,148.26,London_NewYork_Overlap,2020.02.14 15:45:00,2020.02.19 12:37:39,0.01,12345,M15,EXECUTED,N/A
13,XAUUSD,BUY,1606.74,1636.74,1589.53,1636.74,149.50,0.25,0.00,-2.52,146.98,London,2020.02.19 10:15:00,2020.02.21 14:55:38,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1629.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2020.02.25 23:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
16,XAUUSD,BUY,1623.41,1653.42,1593.41,1653.41,149.60,0.25,0.00,-2.52,147.08,NewYork,2020.03.03 17:15:00,2020.03.05 14:23:23,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1648.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2020.03.10 21:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1626.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2020.03.12 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
18,XAUUSD,SELL,1554.96,1584.98,1584.96,1524.96,-149.85,0.25,0.00,0.00,-149.85,Asia,2020.03.13 03:45:00,2020.03.13 07:21:41,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1518.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2020.03.23 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1605.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2020.03.31 12:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1591.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2020.03.31 20:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
20,XAUUSD,BUY,1623.72,1653.73,1595.85,1653.72,148.60,0.25,0.00,-0.63,147.97,Asia,2020.04.03 22:00:00,2020.04.06 20:09:38,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1680.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2020.04.17 21:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1665.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2020.04.21 14:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1709.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,2020.04.27 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1704.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,2020.04.28 04:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1678.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,2020.05.01 08:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1698.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,2020.05.11 13:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
