Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,ExitType
0,XAUUSD,BUY,1799.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2022.01.10 12:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,BUY,1803.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2022.01.11 02:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1812.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2022.01.18 11:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
2,XAUUSD,BUY,1811.72,1846.42,1781.72,1846.72,173.25,0.25,0.00,-6.93,166.32,NewYork,NO,2022.01.11 18:00:00,2022.01.20 16:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
3,XAUUSD,BUY,1846.48,1816.48,1816.48,1881.48,-150.05,0.25,0.00,-2.52,-152.57,London_NewYork_Overlap,NO,2022.01.20 16:00:00,2022.01.26 21:57:53,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,BUY,1800.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2022.02.01 07:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
6,XAUUSD,SELL,1791.09,1821.09,1821.09,1756.09,-150.05,0.25,0.00,-1.84,-151.89,London,NO,2022.01.28 11:15:00,2022.02.07 20:29:39,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
7,XAUUSD,BUY,1816.40,1840.38,1786.40,1851.40,119.85,0.25,0.00,-3.15,116.70,London_NewYork_Overlap,NO,2022.02.07 15:30:00,2022.02.10 17:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,BUY,1912.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2022.02.22 01:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
0,XAUUSD,BUY,1915.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2022.02.24 04:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
10,XAUUSD,BUY,1866.50,1915.09,1840.82,1901.50,242.85,0.25,0.00,-7.56,235.29,London_NewYork_Overlap,NO,2022.02.14 17:00:00,2022.02.24 04:45:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,BUY,1953.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2022.03.04 16:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
