StartTime,EndTime,DurationBars,Session,Status,IsDST,OpenPrice,HighPrice,LowPrice,ClosePrice,RangePoints
2023.01.03 01:00:00,2023.01.03 08:00:00,28,Sydney_Tokyo_Overlap,CLOSED,NO,1826.57,1841.95,1826.10,1840.38,1585
2023.01.03 08:00:00,2023.01.03 09:00:00,4,Asia,CLOSED,NO,1840.38,1842.39,1840.38,1841.94,201
2023.01.03 09:00:00,2023.01.03 10:00:00,4,Tokyo_London_Overlap,CLOSED,NO,1841.94,1848.86,1841.94,1847.58,692
2023.01.03 10:00:00,2023.01.03 14:00:00,16,London,CLOSED,NO,1847.58,1847.58,1831.23,1833.20,1635
2023.01.03 14:00:00,2023.01.03 18:00:00,16,London_NewYork_Overlap,CLOSED,NO,1833.20,1847.71,1828.81,1833.21,1890
2023.01.03 18:00:00,2023.01.03 23:00:00,20,NewYork,CLOSED,NO,1833.21,1840.18,1829.60,1838.05,1058
2023.01.03 23:00:00,2023.01.04 01:00:00,4,Sydney,CLOSED,NO,1838.05,1839.59,1838.05,1838.76,154
2023.01.04 01:00:00,2023.01.04 08:00:00,28,Sydney_Tokyo_Overlap,CLOSED,NO,1838.76,1846.55,1836.50,1846.42,1005
2023.01.04 08:00:00,2023.01.04 09:00:00,4,Asia,CLOSED,NO,1846.42,1848.50,1846.42,1847.96,208
2023.01.04 09:00:00,2023.01.04 10:00:00,4,Tokyo_London_Overlap,CLOSED,NO,1847.96,1857.88,1847.96,1858.28,992
2023.01.04 10:00:00,2023.01.04 14:00:00,16,London,CLOSED,NO,1858.28,1863.85,1858.03,1860.21,582
2023.01.04 14:00:00,2023.01.04 18:00:00,16,London_NewYork_Overlap,CLOSED,NO,1860.21,1861.83,1850.18,1857.82,1165
2023.01.04 18:00:00,2023.01.04 23:00:00,20,NewYork,CLOSED,NO,1857.82,1859.55,1850.34,1855.34,921
2023.01.04 23:00:00,2023.01.05 01:00:00,4,Sydney,CLOSED,NO,1855.34,1856.34,1853.88,1854.48,246
2023.01.05 01:00:00,2023.01.05 08:00:00,28,Sydney_Tokyo_Overlap,CLOSED,NO,1854.48,1858.89,1851.07,1852.71,782
2023.01.05 08:00:00,2023.01.05 09:00:00,4,Asia,CLOSED,NO,1852.71,1855.32,1852.71,1850.73,261
2023.01.05 09:00:00,2023.01.05 10:00:00,4,Tokyo_London_Overlap,CLOSED,NO,1850.73,1854.19,1850.73,1849.33,346
2023.01.05 10:00:00,2023.01.05 14:00:00,16,London,CLOSED,NO,1849.33,1850.23,1844.83,1846.31,540
