=== Market Structure Events (Sorted by Time) ===,,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
HH,Bullish,1804.52,2022.12.02 01:00:00,H1,Updated,,1970.01.01 00:00:00
HH,Update,1804.52,2022.12.02 01:00:00,H1,Accepted,,
LL,Update,1778.49,2022.12.02 15:00:00,H1,Accepted,,
HH,Bullish,1810.01,2022.12.05 06:00:00,H1,Updated,1804.52,1970.01.01 00:00:00
HH,Update,1810.01,2022.12.05 06:00:00,H1,Accepted,,
LL,Bearish,1765.85,2022.12.05 21:00:00,H1,Updated,1778.49,1970.01.01 00:00:00
LL,Update,1765.85,2022.12.05 21:00:00,H1,Accepted,,
HH,Bullish,1824.52,2022.12.13 16:00:00,H1,Updated,1810.01,1970.01.01 00:00:00
HH,Update,1824.52,2022.12.13 16:00:00,H1,Accepted,,
LL,Update,1784.67,2022.12.22 20:45:00,M15,Accepted,,
HH,Bullish,1833.63,2022.12.27 17:00:00,H1,Updated,1824.52,1970.01.01 00:00:00
HH,Update,1833.63,2022.12.27 17:00:00,H1,Accepted,,
HH,Update,1833.63,2022.12.27 17:30:00,M15,Accepted,,
LL,Update,1784.67,2023.01.03 04:45:00,M15,Accepted,,
CHoCH,Bullish,1849.99,2023.01.03 09:30:00,M15,Confirmed,1784.67,1970.01.01 00:00:00
LL,Update,1784.67,2023.01.03 09:30:00,M15,Accepted,,
HH,Update,1849.99,2023.01.03 09:30:00,M15,Accepted,,
LL,Update,1827.58,2023.01.03 17:30:00,M15,Accepted,,
BoS,Bullish,1827.58,2023.01.04 09:00:00,M15,Confirmed,1849.99,1970.01.01 00:00:00
HH,Update,1865.12,2023.01.04 10:30:00,M15,Accepted,,
LL,Update,1847.12,2023.01.04 21:00:00,M15,Accepted,,
HH,Update,1859.03,2023.01.05 10:00:00,M15,Accepted,,
CHoCH,Bearish,1825.11,2023.01.05 17:30:00,M15,Confirmed,1865.12,1970.01.01 00:00:00
HH,Update,1859.03,2023.01.05 17:30:00,M15,Accepted,,
LL,Update,1825.11,2023.01.05 17:30:00,M15,Accepted,,
HH,Update,1859.03,2023.01.05 17:30:00,M15,Accepted,,
HH,Update,1840.85,2023.01.06 05:30:00,M15,Accepted,,
LL,Update,1825.11,2023.01.06 15:45:00,M15,Accepted,,
CHoCH,Bullish,1880.99,2023.01.09 09:15:00,M15,Confirmed,1825.11,1970.01.01 00:00:00
LL,Update,1825.11,2023.01.09 09:15:00,M15,Accepted,,
HH,Update,1880.99,2023.01.09 09:15:00,M15,Accepted,,
HH,Update,1881.58,2023.01.09 16:45:00,M15,Accepted,,
LL,Update,1867.72,2023.01.10 02:15:00,M15,Accepted,,
BoS,Bullish,1867.72,2023.01.11 07:30:00,M15,Confirmed,1881.58,1970.01.01 00:00:00
HH,Update,1886.63,2023.01.11 11:30:00,M15,Accepted,,
BoS,Bullish,1867.72,2023.01.12 14:15:00,M15,Confirmed,1886.63,1970.01.01 00:00:00
HH,Update,1901.61,2023.01.12 15:45:00,M15,Accepted,,
LL,Update,1892.32,2023.01.13 07:45:00,M15,Accepted,,
BoS,Bullish,1867.72,2023.01.13 10:00:00,M15,Confirmed,1901.61,1970.01.01 00:00:00
HH,Update,1928.96,2023.01.16 05:00:00,M15,Accepted,,
LL,Update,1910.85,2023.01.16 10:45:00,M15,Accepted,,
HH,Update,1928.96,2023.01.17 04:30:00,M15,Accepted,,
CHoCH,Bearish,1904.21,2023.01.17 12:30:00,M15,Confirmed,1928.96,1970.01.01 00:00:00
HH,Update,1928.96,2023.01.17 12:30:00,M15,Accepted,,
LL,Update,1904.21,2023.01.17 12:30:00,M15,Accepted,,
HH,Update,1928.96,2023.01.17 12:30:00,M15,Accepted,,
HH,Update,1916.65,2023.01.17 16:15:00,M15,Accepted,,
LL,Update,1903.82,2023.01.17 21:15:00,M15,Accepted,,
BoS,Bearish,1903.82,2023.01.18 05:15:00,M15,Confirmed,1916.65,1970.01.01 00:00:00
LL,Update,1896.59,2023.01.18 07:45:00,M15,Accepted,,
LL,Update,1896.59,2023.01.18 15:00:00,M15,Accepted,,
CHoCH,Bullish,1925.89,2023.01.18 16:30:00,M15,Confirmed,1896.59,1970.01.01 00:00:00
LL,Update,1896.59,2023.01.18 16:30:00,M15,Accepted,,
HH,Update,1925.89,2023.01.18 16:30:00,M15,Accepted,,
LL,Update,1901.64,2023.01.18 19:30:00,M15,Accepted,,
CHoCH,Bearish,1900.98,2023.01.19 04:00:00,M15,Confirmed,1925.89,1970.01.01 00:00:00
HH,Update,1925.89,2023.01.19 04:00:00,M15,Accepted,,
HH,Update,1925.89,2023.01.19 04:00:00,M15,Accepted,,
LL,Update,1900.98,2023.01.19 04:00:00,M15,Accepted,,
HH,Update,1925.89,2023.01.19 04:00:00,M15,Accepted,,
LL,Update,1900.98,2023.01.19 21:30:00,M15,Accepted,,
CHoCH,Bullish,1935.17,2023.01.19 22:15:00,M15,Confirmed,1900.98,1970.01.01 00:00:00
LL,Update,1900.98,2023.01.19 22:15:00,M15,Accepted,,
HH,Update,1935.17,2023.01.19 22:15:00,M15,Accepted,,
LL,Update,1923.19,2023.01.20 07:15:00,M15,Accepted,,
BoS,Bullish,1900.98,2023.01.20 10:00:00,M15,Confirmed,1935.17,1970.01.01 00:00:00
HH,Update,1937.54,2023.01.20 10:00:00,M15,Accepted,,
HH,Update,1937.54,2023.01.23 08:30:00,M15,Accepted,,
CHoCH,Bearish,1911.40,2023.01.23 17:00:00,M15,Confirmed,1937.54,1970.01.01 00:00:00
HH,Update,1937.54,2023.01.23 17:00:00,M15,Accepted,,
LL,Update,1911.40,2023.01.23 17:00:00,M15,Accepted,,
HH,Update,1937.54,2023.01.23 17:00:00,M15,Accepted,,
LL,Update,1911.40,2023.01.24 08:45:00,M15,Accepted,,
CHoCH,Bullish,1942.53,2023.01.24 10:00:00,M15,Confirmed,1911.40,1970.01.01 00:00:00
LL,Update,1911.40,2023.01.24 10:00:00,M15,Accepted,,
HH,Update,1942.53,2023.01.24 10:00:00,M15,Accepted,,
LL,Update,1917.17,2023.01.24 17:00:00,M15,Accepted,,
BoS,Bullish,1917.17,2023.01.25 22:00:00,M15,Confirmed,1942.53,1970.01.01 00:00:00
HH,Update,1949.09,2023.01.26 02:00:00,M15,Accepted,,
LL,Update,1918.62,2023.01.26 18:15:00,M15,Accepted,,
HH,Update,1934.50,2023.01.31 07:30:00,M15,Accepted,,
CHoCH,Bearish,1900.82,2023.01.31 14:00:00,M15,Confirmed,1949.09,1970.01.01 00:00:00
HH,Update,1934.50,2023.01.31 14:00:00,M15,Accepted,,
LL,Update,1900.82,2023.01.31 14:00:00,M15,Accepted,,
HH,Update,1934.50,2023.01.31 14:00:00,M15,Accepted,,
HH,Update,1931.15,2023.01.31 20:30:00,M15,Accepted,,
CHoCH,Bullish,1933.21,2023.02.01 15:15:00,M15,Confirmed,1900.82,1970.01.01 00:00:00
LL,Update,1900.82,2023.02.01 15:15:00,M15,Accepted,,
HH,Update,1933.21,2023.02.01 15:15:00,M15,Accepted,,
LL,Update,1900.82,2023.02.01 16:30:00,M15,Accepted,,
LL,Update,1920.54,2023.02.01 19:00:00,M15,Accepted,,
BoS,Bullish,1900.82,2023.02.01 21:30:00,M15,Confirmed,1933.21,1970.01.01 00:00:00
HH,Update,1959.68,2023.02.02 09:15:00,M15,Accepted,,
HH,Update,1959.68,2023.02.02 18:15:00,M15,Accepted,,
CHoCH,Bearish,1911.30,2023.02.02 22:45:00,M15,Confirmed,1959.68,1970.01.01 00:00:00
HH,Update,1959.68,2023.02.02 22:45:00,M15,Accepted,,
LL,Update,1911.30,2023.02.02 22:45:00,M15,Accepted,,
HH,Update,1959.68,2023.02.02 22:45:00,M15,Accepted,,
HH,Update,1918.60,2023.02.03 04:00:00,M15,Accepted,,
BoS,Bearish,1911.30,2023.02.03 12:15:00,M15,Confirmed,1918.60,1970.01.01 00:00:00
LL,Update,1861.44,2023.02.03 20:15:00,M15,Accepted,,
HH,Update,1881.38,2023.02.06 10:15:00,M15,Accepted,,
HH,Update,1884.40,2023.02.07 19:45:00,M15,Accepted,,
