Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason
2,XAUUSD,BUY,1851.18,1881.19,1821.18,1881.18,149.85,0.25,0.00,-3.15,146.70,Tokyo_London_Overlap,NO,2023.01.04 09:15:00,2023.01.09 16:48:40,0.01,12345,M15,EXECUTED,N/A
4,XAUUSD,BUY,1884.38,1914.38,1857.72,1914.38,149.70,0.25,0.00,-2.52,147.18,Sydney_Tokyo_Overlap,NO,2023.01.11 07:45:00,2023.01.13 17:45:27,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1902.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2023.01.18 05:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
7,XAUUSD,BUY,1944.64,1914.62,1914.64,1974.64,-150.35,0.25,0.00,-3.78,-154.13,NewYork,NO,2023.01.25 22:15:00,2023.01.31 08:05:18,0.01,12345,M15,EXECUTED,N/A
6,XAUUSD,BUY,1935.98,1905.98,1905.98,1965.98,-150.15,0.25,0.00,-5.67,-155.82,London,NO,2023.01.20 10:15:00,2023.01.31 10:30:40,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1909.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2023.02.03 12:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
10,XAUUSD,BUY,1938.80,1908.79,1908.80,1968.80,-150.75,0.25,0.00,-2.52,-153.27,NewYork,NO,2023.02.01 21:45:00,2023.02.03 15:30:20,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1889.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.02.09 16:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
12,XAUUSD,SELL,1851.22,1821.21,1881.22,1821.22,150.25,0.25,0.00,-1.38,148.87,NewYork,NO,2023.02.13 19:00:00,2023.02.17 10:02:31,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1822.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.02.28 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,BUY,1832.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,NO,2023.03.01 07:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1845.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2023.03.03 10:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1850.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2023.03.03 21:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
14,XAUUSD,SELL,1828.64,1856.03,1856.03,1798.64,-137.45,0.25,0.00,-2.53,-139.98,NewYork,NO,2023.02.22 21:15:00,2023.03.03 22:12:39,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1843.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,NO,2023.03.07 12:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
16,XAUUSD,BUY,1857.35,1829.04,1829.05,1887.35,-141.80,0.25,0.00,-0.63,-142.43,Tokyo_London_Overlap,NO,2023.03.06 09:45:00,2023.03.07 17:00:42,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1836.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.03.10 15:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
18,XAUUSD,BUY,1897.93,1927.93,1867.93,1927.93,149.55,0.25,0.00,-1.26,148.29,London_NewYork_Overlap,NO,2023.03.13 14:30:00,2023.03.15 14:52:20,0.01,12345,M15,EXECUTED,N/A
20,XAUUSD,BUY,1940.83,1970.84,1910.83,1970.83,149.75,0.25,0.00,0.00,149.75,London_NewYork_Overlap,NO,2023.03.17 14:30:00,2023.03.17 19:34:29,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1963.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,NO,2023.03.21 14:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1968.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,YES,2023.03.27 09:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
22,XAUUSD,BUY,1979.87,1949.87,1949.87,2009.87,-150.25,0.25,0.00,-1.26,-151.51,Asia,NO,2023.03.23 08:15:00,2023.03.27 13:39:05,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1968.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2023.03.31 20:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
24,XAUUSD,BUY,1965.99,1996.00,1935.99,1995.99,149.65,0.25,0.00,-4.41,145.24,London_NewYork_Overlap,YES,2023.03.28 15:45:00,2023.04.04 17:00:25,0.01,12345,M15,EXECUTED,N/A
25,XAUUSD,BUY,1992.19,2022.20,1967.01,2022.19,149.65,0.25,0.00,0.00,149.65,London_NewYork_Overlap,YES,2023.04.04 16:45:00,2023.04.04 17:18:42,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2000.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2023.04.10 03:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1988.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.04.10 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
28,XAUUSD,BUY,2009.84,2039.84,1985.58,2039.84,149.85,0.25,0.00,-1.89,147.96,Sydney_Tokyo_Overlap,YES,2023.04.12 04:30:00,2023.04.13 15:49:42,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1990.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.04.17 17:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1977.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2023.04.19 11:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
30,XAUUSD,BUY,2021.30,2064.37,1991.30,2051.30,215.15,0.25,0.00,-1.89,213.26,London_NewYork_Overlap,YES,2023.05.03 18:00:00,2023.05.04 01:02:00,0.01,12345,M15,EXECUTED,N/A
32,XAUUSD,BUY,2046.22,2016.22,2016.22,2076.22,-149.85,0.25,0.00,-1.89,-151.74,London_NewYork_Overlap,YES,2023.05.10 15:45:00,2023.05.11 16:50:42,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,2010.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2023.05.12 06:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1999.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.05.16 18:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
34,XAUUSD,SELL,1984.10,1954.09,2003.04,1954.10,150.35,0.25,0.00,-0.69,149.66,London,YES,2023.05.17 12:45:00,2023.05.18 18:01:37,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1964.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Asia,YES,2023.05.31 09:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1967.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.05.31 16:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
36,XAUUSD,SELL,1940.29,1970.30,1970.29,1910.29,-150.25,0.25,0.00,-0.92,-151.17,London_NewYork_Overlap,YES,2023.05.25 15:45:00,2023.05.31 16:46:15,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1969.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.06.07 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
39,XAUUSD,SELL,1946.97,1916.97,1968.76,1916.97,150.15,0.25,0.00,-0.92,149.23,Sydney_Tokyo_Overlap,YES,2023.06.20 05:00:00,2023.06.22 17:20:42,0.01,12345,M15,EXECUTED,N/A
38,XAUUSD,SELL,1939.17,1909.17,1969.17,1909.17,150.10,0.25,0.00,-2.53,147.57,Sydney_Tokyo_Overlap,YES,2023.06.15 04:00:00,2023.06.28 11:10:25,0.01,12345,M15,EXECUTED,N/A
40,XAUUSD,SELL,1928.99,1898.99,1949.45,1898.99,150.55,0.25,0.00,-2.30,148.25,London_NewYork_Overlap,YES,2023.06.21 15:45:00,2023.06.29 15:42:39,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1923.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.07.03 16:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1932.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.07.05 16:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
44,XAUUSD,SELL,1910.70,1940.70,1940.70,1880.70,-150.40,0.25,0.00,-0.92,-151.32,London_NewYork_Overlap,YES,2023.07.06 15:30:00,2023.07.12 05:27:58,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1952.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.07.14 17:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1948.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.07.17 16:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
45,XAUUSD,BUY,1939.11,1969.11,1919.32,1969.11,149.95,0.25,0.00,-3.78,146.17,Sydney_Tokyo_Overlap,YES,2023.07.12 04:45:00,2023.07.18 14:16:44,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1964.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2023.07.21 11:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
48,XAUUSD,BUY,1984.95,1959.69,1959.69,2014.95,-126.70,0.25,0.00,-0.63,-127.33,Sydney_Tokyo_Overlap,YES,2023.07.20 05:00:00,2023.07.21 16:23:19,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1955.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2023.07.24 21:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
50,XAUUSD,BUY,1967.73,1943.11,1943.19,1997.73,-123.30,0.25,0.00,-1.89,-125.19,Asia,YES,2023.07.26 09:15:00,2023.07.27 17:06:05,0.01,12345,M15,EXECUTED,N/A
52,XAUUSD,BUY,1964.93,1934.93,1934.93,1994.93,-150.35,0.25,0.00,-1.26,-151.61,London_NewYork_Overlap,YES,2023.07.31 15:45:00,2023.08.02 17:29:40,0.01,12345,M15,EXECUTED,N/A
53,XAUUSD,SELL,1940.13,1910.13,1962.91,1910.13,150.15,0.25,0.00,-2.76,147.39,London_NewYork_Overlap,YES,2023.08.02 17:15:00,2023.08.14 15:11:27,0.01,12345,M15,EXECUTED,N/A
55,XAUUSD,SELL,1921.88,1891.88,1942.34,1891.88,150.10,0.25,0.00,-2.30,147.80,London_NewYork_Overlap,YES,2023.08.09 17:45:00,2023.08.17 03:46:19,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1921.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2023.08.24 06:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,SELL,1911.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2023.08.25 17:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1938.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2023.09.01 07:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1933.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2023.09.05 11:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
60,XAUUSD,SELL,1906.68,1922.91,1922.91,1876.68,-80.80,0.25,0.00,-0.23,-81.03,Tokyo_London_Overlap,YES,2023.09.14 10:15:00,2023.09.15 16:12:32,0.01,12345,M15,EXECUTED,N/A
62,XAUUSD,BUY,1931.11,1912.35,1912.36,1961.11,-93.90,0.25,0.00,-5.04,-98.94,NewYork,YES,2023.09.18 20:00:00,2023.09.26 09:20:45,0.01,12345,M15,EXECUTED,N/A
58,XAUUSD,BUY,1930.55,1900.55,1900.55,1960.55,-150.15,0.25,0.00,-17.64,-167.79,London_NewYork_Overlap,YES,2023.08.29 17:15:00,2023.09.26 21:11:31,0.01,12345,M15,EXECUTED,N/A
59,XAUUSD,SELL,1924.73,1894.73,1948.99,1894.73,150.25,0.25,0.00,-4.83,145.42,Sydney_Tokyo_Overlap,YES,2023.09.06 04:00:00,2023.09.27 12:45:27,0.01,12345,M15,EXECUTED,N/A
63,XAUUSD,SELL,1923.03,1893.03,1953.03,1893.03,150.25,0.25,0.00,-0.92,149.33,London,YES,2023.09.21 12:00:00,2023.09.27 14:15:28,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,BUY,1857.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2023.10.09 22:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1866.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tokyo_London_Overlap,YES,2023.10.11 10:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
0,XAUUSD,BUY,1878.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2023.10.12 04:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
68,XAUUSD,BUY,1886.36,1916.36,1857.91,1916.36,149.95,0.25,0.00,0.00,149.95,London,YES,2023.10.13 12:30:00,2023.10.13 15:34:37,0.01,12345,M15,EXECUTED,N/A
0,XAUUSD,SELL,1963.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2023.10.24 13:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter
0,XAUUSD,SELL,1970.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,NO,2023.11.01 20:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter
