Time,Open,High,Low,Close,Volume,Spread,EMA200
2023.01.03 00:00:00,1826.57,1832.55,1823.52,1828.53,13671,1,1828.53
2023.01.03 04:00:00,1828.55,1843.14,1828.34,1840.39,17137,2,1828.65
2023.01.03 08:00:00,1840.38,1849.99,1834.56,1838.87,32544,1,1828.75
2023.01.03 12:00:00,1838.79,1841.02,1830.85,1838.90,27677,4,1828.85
2023.01.03 16:00:00,1838.90,1849.86,1827.58,1839.34,45722,2,1828.96
2023.01.03 20:00:00,1839.33,1840.21,1836.53,1839.47,16779,4,1829.06
2023.01.04 00:00:00,1838.76,1844.56,1836.18,1844.38,10187,5,1829.21
2023.01.04 04:00:00,1844.37,1847.18,1843.42,1846.40,12859,2,1829.38
2023.01.04 08:00:00,1846.42,1865.12,1845.85,1860.56,29077,1,1829.69
2023.01.04 12:00:00,1860.58,1862.84,1852.80,1860.11,29641,2,1830.00
2023.01.04 16:00:00,1860.07,1860.88,1849.08,1850.53,49987,4,1830.20
2023.01.04 20:00:00,1850.53,1857.15,1847.12,1854.68,27574,4,1830.44
2023.01.05 00:00:00,1854.48,1859.03,1853.92,1858.88,9405,3,1830.73
2023.01.05 04:00:00,1858.89,1858.89,1850.21,1852.66,13316,0,1830.95
2023.01.05 08:00:00,1852.71,1855.66,1843.83,1848.52,26107,4,1831.12
2023.01.05 12:00:00,1848.52,1851.31,1833.08,1834.84,32169,0,1831.16
2023.01.05 16:00:00,1834.78,1837.92,1825.11,1833.98,46694,4,1831.19
2023.01.05 20:00:00,1833.96,1837.48,1831.92,1832.92,15208,4,1831.20
2023.01.06 00:00:00,1832.30,1836.11,1831.31,1835.48,7697,5,1831.24
2023.01.06 04:00:00,1835.47,1840.85,1835.44,1837.14,13188,1,1831.30
2023.01.06 08:00:00,1837.14,1840.65,1833.28,1835.50,19665,4,1831.35
2023.01.06 12:00:00,1835.53,1852.52,1834.07,1851.86,32641,4,1831.55
2023.01.06 16:00:00,1851.81,1864.99,1840.66,1862.38,47886,0,1831.86
2023.01.06 20:00:00,1862.38,1869.87,1861.78,1866.03,13372,0,1832.20
2023.01.09 00:00:00,1867.72,1875.29,1866.44,1874.43,13543,3,1832.62
2023.01.09 04:00:00,1874.44,1879.54,1874.25,1877.95,14075,3,1833.07
