Time,Session,IsActive,OpenPrice,HighPrice,LowPrice,ClosePrice,BarsCount,SessionRangePoints
2025.01.02 01:00:00,Asia,NO,2624.48,2636.37,2621.48,2633.99,15600,1489
2025.01.02 08:00:00,London,NO,2634.03,2646.31,2631.15,2642.74,15961,1516
2025.01.02 13:00:00,London_NewYork_Overlap,NO,2642.74,2651.04,2636.06,2647.43,13698,1498
2025.01.02 17:00:00,NewYork,NO,2647.43,2660.45,2645.22,2654.75,17342,1523
2025.01.02 22:00:00,Asia,NO,2654.75,2665.15,2654.15,2662.88,18269,1100
2025.01.03 08:00:00,London,NO,2658.58,2660.28,2649.91,2657.62,14866,1037
2025.01.03 13:00:00,London_NewYork_Overlap,NO,2657.62,2659.24,2643.48,2645.22,12750,1576
2025.01.03 17:00:00,NewYork,NO,2645.22,2648.29,2639.04,2639.40,16644,925
2025.01.03 22:00:00,Asia,NO,2639.40,2647.40,2633.99,2635.41,20130,1341
2025.01.06 08:00:00,London,NO,2633.92,2635.74,2625.22,2633.81,15413,1052
2025.01.06 13:00:00,London_NewYork_Overlap,NO,2633.81,2649.45,2614.54,2631.53,14271,3491
2025.01.06 17:00:00,NewYork,NO,2631.53,2641.28,2629.49,2634.38,16382,1179
2025.01.06 22:00:00,Asia,NO,2634.38,2641.18,2632.98,2637.94,10219,820
2025.01.07 08:00:00,London,NO,2644.44,2646.78,2638.06,2643.96,12353,872
2025.01.07 13:00:00,London_NewYork_Overlap,NO,2643.96,2664.29,2642.06,2653.59,13344,2223
2025.01.07 17:00:00,NewYork,NO,2653.59,2655.96,2642.28,2649.22,17681,1368
2025.01.07 22:00:00,Asia,NO,2649.22,2651.52,2645.25,2647.02,17633,627
2025.01.08 08:00:00,London,NO,2650.06,2655.13,2648.94,2653.16,15406,619
2025.01.08 13:00:00,London_NewYork_Overlap,NO,2653.16,2667.59,2645.87,2661.13,13899,2172
2025.01.08 17:00:00,NewYork,NO,2661.13,2670.00,2649.52,2658.41,17538,2048
2025.01.08 22:00:00,Asia,NO,2658.41,2664.06,2655.51,2658.78,17184,855
2025.01.09 08:00:00,London,NO,2658.28,2668.59,2658.27,2667.50,14515,1032
2025.01.09 13:00:00,London_NewYork_Overlap,NO,2667.50,2678.23,2665.29,2672.46,13073,1294
2025.01.09 17:00:00,NewYork,NO,2672.46,2675.37,2662.65,2670.11,16003,1272
2025.01.09 22:00:00,Asia,NO,2670.11,2674.75,2668.24,2671.71,16214,651
2025.01.10 08:00:00,London,NO,2674.83,2682.70,2673.38,2681.04,16663,932
2025.01.10 13:00:00,London_NewYork_Overlap,NO,2681.04,2693.32,2663.99,2685.99,13551,2933
2025.01.10 17:00:00,NewYork,NO,2685.99,2697.97,2682.56,2685.72,17852,1541
2025.01.10 22:00:00,Asia,NO,2685.72,2693.33,2679.46,2685.96,22481,1387
2025.01.13 08:00:00,London,NO,2687.00,2691.37,2677.43,2679.40,16957,1394
2025.01.13 13:00:00,London_NewYork_Overlap,NO,2679.40,2680.58,2663.87,2671.67,14072,1671
2025.01.13 17:00:00,NewYork,NO,2671.67,2673.01,2656.84,2658.95,17250,1617
2025.01.13 22:00:00,Asia,NO,2658.95,2674.10,2658.79,2673.72,21222,1531
2025.01.14 08:00:00,London,NO,2668.70,2674.09,2664.76,2666.84,16722,933
2025.01.14 13:00:00,London_NewYork_Overlap,NO,2666.84,2674.27,2659.91,2665.28,13814,1436
2025.01.14 17:00:00,NewYork,NO,2665.28,2676.29,2665.09,2674.32,17173,1120
2025.01.14 22:00:00,Asia,NO,2674.32,2679.18,2669.39,2675.72,17644,979
2025.01.15 08:00:00,London,NO,2679.39,2689.06,2679.12,2688.64,16550,994
2025.01.15 13:00:00,London_NewYork_Overlap,NO,2688.64,2696.04,2678.36,2681.87,13899,1768
2025.01.15 17:00:00,NewYork,NO,2681.87,2695.19,2676.84,2694.15,16889,1835
2025.01.15 22:00:00,Asia,NO,2694.15,2702.15,2692.55,2697.51,19869,960
2025.01.16 08:00:00,London,NO,2694.64,2708.57,2690.03,2707.91,16605,1854
2025.01.16 13:00:00,London_NewYork_Overlap,NO,2707.91,2719.34,2700.34,2718.70,13741,1900
2025.01.16 17:00:00,NewYork,NO,2718.70,2724.74,2712.66,2715.19,17400,1208
2025.01.16 22:00:00,Asia,NO,2715.19,2717.38,2709.88,2714.77,18283,750
2025.01.17 08:00:00,London,NO,2711.69,2714.64,2702.82,2704.00,15859,1182
2025.01.17 13:00:00,London_NewYork_Overlap,NO,2704.00,2712.47,2702.77,2711.44,13819,970
2025.01.17 17:00:00,NewYork,NO,2711.44,2717.29,2702.86,2703.17,17550,1443
2025.01.17 22:00:00,Asia,NO,2703.17,2706.53,2689.26,2705.89,20829,1727
2025.01.20 08:00:00,London,NO,2707.37,2713.76,2702.94,2708.22,15196,1082
2025.01.20 13:00:00,London_NewYork_Overlap,NO,2708.22,2712.57,2701.52,2709.99,12935,1105
2025.01.20 17:00:00,NewYork,NO,2709.99,2711.21,2703.23,2708.28,11607,798
2025.01.21 01:00:00,Asia,NO,2708.28,2727.90,2702.81,2727.59,17754,2509
2025.01.21 08:00:00,London,NO,2726.00,2732.81,2717.26,2719.75,17307,1555
2025.01.21 13:00:00,London_NewYork_Overlap,NO,2719.75,2738.48,2716.43,2738.20,14122,2205
2025.01.21 17:00:00,NewYork,NO,2738.20,2746.02,2734.59,2742.64,17117,1143
2025.01.21 22:00:00,Asia,NO,2742.64,2752.98,2740.01,2752.25,21078,1297
2025.01.22 08:00:00,London,NO,2758.08,2763.45,2745.69,2760.10,16894,1776
2025.01.22 13:00:00,London_NewYork_Overlap,NO,2760.10,2761.63,2750.28,2753.60,13509,1135
2025.01.22 17:00:00,NewYork,NO,2753.60,2760.35,2750.52,2755.24,16779,983
2025.01.22 22:00:00,Asia,NO,2755.24,2757.15,2749.51,2751.75,18148,764
2025.01.23 08:00:00,London,NO,2751.97,2755.59,2740.87,2751.47,15935,1472
2025.01.23 13:00:00,London_NewYork_Overlap,NO,2751.47,2754.45,2735.66,2746.21,14001,1879
2025.01.23 17:00:00,NewYork,NO,2746.21,2758.91,2741.99,2754.06,17447,1692
2025.01.23 22:00:00,Asia,NO,2754.06,2777.40,2751.31,2772.30,21334,2609
2025.01.24 08:00:00,London,NO,2775.22,2778.30,2770.04,2775.72,16455,826
2025.01.24 13:00:00,London_NewYork_Overlap,NO,2775.72,2784.58,2773.89,2777.95,13720,1069
2025.01.24 17:00:00,NewYork,NO,2777.95,2785.94,2769.99,2774.66,16975,1595
2025.01.24 22:00:00,Asia,NO,2774.66,2774.85,2754.10,2758.16,23360,2075
2025.01.27 08:00:00,London,NO,2753.18,2771.04,2747.32,2767.88,17556,2372
2025.01.27 13:00:00,London_NewYork_Overlap,NO,2767.88,2771.80,2744.98,2750.78,14245,2682
2025.01.27 17:00:00,NewYork,NO,2750.78,2751.01,2730.48,2739.41,17791,2053
2025.01.27 22:00:00,Asia,NO,2739.41,2745.32,2737.80,2742.53,21654,752
