Ticket,Symbol,Type,SignalType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
1,XAUUSD,BUY,BoS,2037.72,2033.77,2033.77,2079.73,-19.75,0.25,0.00,0.00,-20.00,London_NewYork_Overlap,NO,2024.01.30 16:00:00,2024.02.02 15:30:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2020.78,2067.72,2033.77,2079.73,1694,2999,1694,2999,YES,4,YES,1,0,0,STOP_LOSS
2,XAUUSD,BUY,BoS,2042.73,2033.77,2033.77,2079.73,-44.80,0.25,0.00,0.00,-45.05,London_NewYork_Overlap,NO,2024.01.30 16:15:00,2024.02.02 15:30:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2020.78,2067.73,2033.77,2079.73,2195,2500,2195,2500,YES,4,YES,1,0,0,STOP_LOSS
3,XAUUSD,BUY,BoS,2034.64,2020.50,2020.50,2064.64,-70.70,0.25,0.00,0.00,-70.95,London_NewYork_Overlap,NO,2024.02.07 16:30:00,2024.02.08 16:00:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2020.50,2064.64,2020.50,2064.64,1414,2999,1414,2999,NO,0,NO,0,0,0,STOP_LOSS
4,XAUUSD,BUY,BoS,2040.47,2020.50,2020.50,2065.47,-99.85,0.25,0.00,0.00,-100.10,London_NewYork_Overlap,NO,2024.02.07 16:45:00,2024.02.08 16:00:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2020.50,2065.47,2020.50,2065.47,1997,2499,1997,2499,NO,0,NO,0,0,0,STOP_LOSS
11,XAUUSD,BUY,CHoCH,2048.79,2181.24,2140.47,2181.24,662.25,0.25,0.00,0.00,662.00,London,NO,2024.03.01 12:15:00,2024.03.08 15:30:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.40,YES,STRICT,2028.92,2078.79,2140.47,2181.24,1986,3000,1986,3000,YES,53,YES,9,0,0,TAKE_PROFIT
12,XAUUSD,BUY,BoS,2084.90,2181.24,2140.47,2181.24,481.70,0.25,0.00,0.00,481.45,London_NewYork_Overlap,NO,2024.03.04 15:45:00,2024.03.08 15:30:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2069.37,2109.90,2140.47,2181.24,1553,2500,1553,2500,YES,37,YES,6,0,0,TAKE_PROFIT
5,XAUUSD,BUY,BoS,2028.10,2162.90,2162.90,2212.90,674.00,0.25,0.00,0.00,673.75,London_NewYork_Overlap,NO,2024.02.20 15:30:00,2024.03.12 14:30:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2003.15,2058.10,2162.90,2212.90,2494,3000,2494,3000,YES,72,YES,13,0,0,STOP_LOSS
6,XAUUSD,BUY,BoS,2029.65,2162.90,2162.90,2212.90,666.25,0.25,0.00,0.00,666.00,London_NewYork_Overlap,NO,2024.02.20 15:45:00,2024.03.12 14:30:00,0.05,12345,M15,EXECUTED,N/A,0.70,0.40,YES,STRICT,2003.15,2054.65,2162.90,2212.90,2650,2500,2650,2500,YES,72,YES,13,0,0,STOP_LOSS
7,XAUUSD,BUY,CHoCH,2031.36,2162.90,2162.90,2212.90,657.70,0.25,0.00,0.00,657.45,Tokyo_London_Overlap,NO,2024.02.22 10:00:00,2024.03.12 14:30:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.40,YES,STRICT,2010.05,2061.36,2162.90,2212.90,2130,3000,2130,3000,YES,66,YES,13,0,0,STOP_LOSS
8,XAUUSD,BUY,CHoCH,2037.26,2162.90,2162.90,2212.90,628.20,0.25,0.00,0.00,627.95,London,NO,2024.02.27 10:30:00,2024.03.12 14:30:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.40,YES,STRICT,2014.94,2067.26,2162.90,2212.90,2231,3000,2231,3000,YES,64,YES,12,0,0,STOP_LOSS
