Ticket,Symbol,Type,SignalType,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
1,XAUUSD,BUY,CHoCH,4399.78,4407.62,4407.62,4457.62,39.2,0.25,0,0,38.95,Sydney_Tokyo_Overlap,NO,2026.01.05 04:45:00,2026.01.05 14:30:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.4,YES,STRICT,4369.78,4429.78,4407.62,4457.62,3000,3000,3000,3000,YES,12,YES,2,0,0,STOP_LOSS
2,XAUUSD,BUY,BoS,4450.7,4468.44,4468.44,4511.11,88.7,0.25,0,0,88.45,Sydney_Tokyo_Overlap,NO,2026.01.06 04:00:00,2026.01.07 03:30:00,0.05,12345,M15,EXECUTED,N/A,0.7,0.4,YES,STRICT,4420.7,4475.7,4468.44,4511.11,3000,2500,3000,2500,YES,20,YES,3,0,0,STOP_LOSS
3,XAUUSD,BUY,CHoCH,4433.03,4506.95,4466.64,4506.95,369.6,0.25,0,0,369.35,London_NewYork_Overlap,NO,2026.01.08 17:00:00,2026.01.09 17:15:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.4,YES,STRICT,4403.03,4463.03,4466.64,4506.95,3000,3000,3000,3000,YES,14,YES,4,0,0,TAKE_PROFIT
4,XAUUSD,BUY,BoS,4472.6,4509.33,4466.64,4509.33,183.65,0.25,0,0,183.4,London_NewYork_Overlap,NO,2026.01.09 15:30:00,2026.01.09 17:15:00,0.05,12345,M15,EXECUTED,N/A,0.7,0.4,YES,STRICT,4442.87,4497.6,4466.64,4509.33,2973,2500,2973,2500,YES,4,YES,1,0,0,TAKE_PROFIT
5,XAUUSD,BUY,CHoCH,4596.45,4626.45,4566.45,4626.45,150,0.25,0,0,149.75,Sydney,NO,2026.01.19 01:00:00,2026.01.19 01:15:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.4,YES,STRICT,4566.45,4626.45,4566.45,4626.45,3000,3000,3000,3000,NO,0,NO,0,0,0,TAKE_PROFIT
6,XAUUSD,BUY,BoS,4689.8,4773.64,4733.56,4773.64,419.2,0.25,0,0,418.95,Sydney_Tokyo_Overlap,NO,2026.01.20 06:45:00,2026.01.21 01:30:00,0.05,12345,M15,EXECUTED,N/A,0.7,0.4,YES,STRICT,4659.8,4714.8,4733.56,4773.64,3000,2500,3000,2500,YES,20,YES,5,0,0,TAKE_PROFIT
7,XAUUSD,BUY,CHoCH,4829.44,4891.65,4850.79,4891.65,311.05,0.25,0,0,310.8,London_NewYork_Overlap,NO,2026.01.22 16:30:00,2026.01.22 19:15:00,0.05,12345,M15,EXECUTED,N/A,0.65,0.4,YES,STRICT,4800.7,4859.44,4850.79,4891.65,2873,3000,2873,3000,YES,8,YES,2,0,0,TAKE_PROFIT
8,XAUUSD,BUY,BoS,4960.63,4985.63,4930.63,4985.63,125,0.25,0,0,124.75,London_NewYork_Overlap,NO,2026.01.23 18:00:00,2026.01.23 18:15:00,0.05,12345,M15,EXECUTED,N/A,0.7,0.4,YES,STRICT,4930.63,4985.63,4930.63,4985.63,3000,2500,3000,2500,NO,0,NO,0,0,0,TAKE_PROFIT
9,XAUUSD,BUY,BoS,4986.96,5016.96,4956.96,5016.96,150,0.25,0,0,149.75,Sydney_Tokyo_Overlap,NO,2026.02.04 02:45:00,2026.02.04 03:00:00,0.05,12345,M15,EXECUTED,N/A,0.7,0.4,YES,STRICT,4956.96,5016.96,4956.96,5016.96,3000,3000,3000,3000,NO,0,NO,0,0,0,TAKE_PROFIT
10,XAUUSD,BUY,BoS,5015.75,5040.75,4985.75,5040.75,125,0.25,0,0,124.75,Sydney_Tokyo_Overlap,NO,2026.02.04 03:00:00,2026.02.04 03:15:00,0.05,12345,M15,EXECUTED,N/A,0.7,0.4,YES,STRICT,4985.75,5040.75,4985.75,5040.75,3000,2500,3000,2500,NO,0,NO,0,0,0,TAKE_PROFIT
