Rank,BaseRef,TP,Trailing,MaxHoldHours,TpExpansion,BosExit3,MaxBoSCycle,Trades,NetPnL,FinalBalance,MaxDD_USD,MaxDD_Pct,ProfitFactor,WinRate_Pct,EquivCount
1,4050,105,12.5,48,off,off,2,78,1194.33,2194.33,420.96,19.02,1.53,44.87,2
2,4050,100,12.5,48,off,off,2,78,1169.33,2169.33,420.96,19.24,1.52,44.87,4
3,4050,105,12.5,36,off,off,2,78,1165.19,2165.19,420.96,19.28,1.52,44.87,2
4,4025,105,12.5,48,off,off,2,78,1162.03,2162.03,421.44,19.21,1.51,44.87,2
5,4050,95,12.5,48,off,off,2,78,1144.33,2144.33,420.96,19.46,1.51,44.87,4
6,4050,100,12.5,36,off,off,2,78,1140.19,2140.19,420.96,19.5,1.50,44.87,4
7,4025,100,12.5,48,off,off,2,78,1137.03,2137.03,421.44,19.43,1.50,44.87,4
8,4000,105,12.5,48,off,off,2,78,1135.9,2135.9,421.93,19.41,1.50,44.87,2
9,4025,105,12.5,36,off,off,2,78,1133.46,2133.46,421.44,19.47,1.50,44.87,2
10,4025,100,10,24,off,off,2,78,1083.46,2083.46,341.64,16.07,1.56,47.44,12
11,4050,100,10,24,off,off,2,78,1076.28,2076.28,340.97,16.18,1.56,46.15,12
12,4025,95,10,24,off,off,2,78,1058.46,2058.46,341.64,16.27,1.55,47.44,12
13,4050,95,10,24,off,off,2,78,1051.28,2051.28,340.97,16.37,1.54,46.15,12
14,3950,95,10,24,off,off,2,78,1031.9,2031.9,343.66,16.33,1.53,46.15,12
15,4000,95,10,24,off,off,2,78,1031.85,2031.85,342.31,16.42,1.53,46.15,12
16,4025,105,10,24,off,off,2,78,1016.36,2016.36,341.64,16.6,1.53,47.44,12
17,4050,105,10,24,off,off,2,78,1012.18,2012.18,340.97,16.68,1.52,46.15,12
18,4000,100,10,24,off,off,2,78,986.75,1986.75,342.31,16.79,1.51,46.15,24
19,3950,100,10,24,off,off,2,78,980.8,1980.8,343.66,16.73,1.51,46.15,24
20,4050,95,12.5,36,off,off,2,78,1115.19,2115.19,420.96,19.73,1.49,44.87,4
21,4025,95,12.5,48,off,off,2,78,1112.03,2112.03,421.44,19.66,1.49,44.87,4
22,4000,100,12.5,48,off,off,2,78,1110.9,2110.9,421.93,19.63,1.49,44.87,2
23,4025,100,12.5,36,off,off,2,78,1108.46,2108.46,421.44,19.69,1.49,44.87,4
24,4000,105,12.5,36,off,off,2,78,1107.89,2107.89,421.93,19.66,1.49,44.87,2
25,4050,105,12.5,48,on,off,2,78,1092.72,2092.72,420.96,19.94,1.48,44.87,2
26,4000,95,12.5,48,off,off,2,78,1085.9,2085.9,421.93,19.86,1.48,44.87,4
27,4025,95,12.5,36,off,off,2,78,1083.46,2083.46,421.44,19.93,1.48,44.87,4
28,4000,100,12.5,36,off,off,2,78,1082.89,2082.89,421.93,19.89,1.48,44.87,2
29,3950,105,12.5,48,off,off,2,78,1071.24,2071.24,422.91,19.8,1.47,43.59,2
30,4050,105,12.5,36,on,off,2,78,1063.58,2063.58,420.96,20.22,1.47,44.87,2
