Rank,BaseRef,TP,Trailing,MaxHoldHours,TpExpansion,BosExit3,OrderModel,NetPnL,FinalBalance,MaxDD_USD,MaxDD_Pct,ProfitFactor,WinRate_Pct
1,4050,100,15,48,off,off,adv_first,1468.23,2468.23,534.85,19.39,1.61,45.05
2,4050,100,15,48,off,on,adv_first,1468.23,2468.23,534.85,19.39,1.61,45.05
3,4050,100,15,48,on,off,adv_first,1468.23,2468.23,534.85,19.39,1.61,45.05
4,4050,100,15,48,on,on,adv_first,1468.23,2468.23,534.85,19.39,1.61,45.05
5,3950,95,15,48,off,off,adv_first,1460.8,2460.8,471.65,17.48,1.61,45.05
6,3950,95,15,48,off,on,adv_first,1460.8,2460.8,471.65,17.48,1.61,45.05
7,3950,95,15,48,on,off,adv_first,1460.8,2460.8,471.65,17.48,1.61,45.05
8,3950,95,15,48,on,on,adv_first,1460.8,2460.8,471.65,17.48,1.61,45.05
9,4050,100,15,36,off,off,adv_first,1448.69,2448.69,534.85,19.53,1.60,45.05
10,4050,100,15,36,off,on,adv_first,1448.69,2448.69,534.85,19.53,1.60,45.05
11,4050,100,15,36,on,off,adv_first,1448.69,2448.69,534.85,19.53,1.60,45.05
12,4050,100,15,36,on,on,adv_first,1448.69,2448.69,534.85,19.53,1.60,45.05
13,3950,95,15,36,off,off,adv_first,1443.59,2443.59,471.65,17.59,1.60,45.05
14,3950,95,15,36,off,on,adv_first,1443.59,2443.59,471.65,17.59,1.60,45.05
15,3950,95,15,36,on,off,adv_first,1443.59,2443.59,471.65,17.59,1.60,45.05
16,3950,95,15,36,on,on,adv_first,1443.59,2443.59,471.65,17.59,1.60,45.05
17,4050,95,15,48,off,off,adv_first,1443.23,2443.23,534.85,19.57,1.60,45.05
18,4050,95,15,48,off,on,adv_first,1443.23,2443.23,534.85,19.57,1.60,45.05
19,4050,95,15,48,on,off,adv_first,1443.23,2443.23,534.85,19.57,1.60,45.05
20,4050,95,15,48,on,on,adv_first,1443.23,2443.23,534.85,19.57,1.60,45.05
21,4000,95,15,48,off,off,adv_first,1438.88,2438.88,552.32,20.07,1.59,45.05
22,4000,95,15,48,off,on,adv_first,1438.88,2438.88,552.32,20.07,1.59,45.05
23,4000,95,15,48,on,off,adv_first,1438.88,2438.88,552.32,20.07,1.59,45.05
24,4000,95,15,48,on,on,adv_first,1438.88,2438.88,552.32,20.07,1.59,45.05
25,4050,95,15,36,off,off,adv_first,1423.69,2423.69,534.85,19.71,1.59,45.05
26,4050,95,15,36,off,on,adv_first,1423.69,2423.69,534.85,19.71,1.59,45.05
27,4050,95,15,36,on,off,adv_first,1423.69,2423.69,534.85,19.71,1.59,45.05
28,4050,95,15,36,on,on,adv_first,1423.69,2423.69,534.85,19.71,1.59,45.05
29,4025,100,15,48,off,off,adv_first,1423.36,2423.36,543.58,19.95,1.59,45.05
30,4025,100,15,48,off,on,adv_first,1423.36,2423.36,543.58,19.95,1.59,45.05
31,4025,100,15,48,on,off,adv_first,1423.36,2423.36,543.58,19.95,1.59,45.05
32,4025,100,15,48,on,on,adv_first,1423.36,2423.36,543.58,19.95,1.59,45.05
33,4000,95,15,36,off,off,adv_first,1420.51,2420.51,552.32,20.21,1.59,45.05
34,4000,95,15,36,off,on,adv_first,1420.51,2420.51,552.32,20.21,1.59,45.05
35,4000,95,15,36,on,off,adv_first,1420.51,2420.51,552.32,20.21,1.59,45.05
36,4000,95,15,36,on,on,adv_first,1420.51,2420.51,552.32,20.21,1.59,45.05
37,4025,100,15,36,off,off,adv_first,1404.41,2404.41,543.58,20.09,1.58,45.05
38,4025,100,15,36,off,on,adv_first,1404.41,2404.41,543.58,20.09,1.58,45.05
39,4025,100,15,36,on,off,adv_first,1404.41,2404.41,543.58,20.09,1.58,45.05
40,4025,100,15,36,on,on,adv_first,1404.41,2404.41,543.58,20.09,1.58,45.05
41,3950,100,15,48,off,off,adv_first,1402.94,2402.94,471.65,17.86,1.59,45.05
42,3950,100,15,48,off,on,adv_first,1402.94,2402.94,471.65,17.86,1.59,45.05
43,3950,100,15,48,on,off,adv_first,1402.94,2402.94,471.65,17.86,1.59,45.05
44,3950,100,15,48,on,on,adv_first,1402.94,2402.94,471.65,17.86,1.59,45.05
45,3950,105,15,48,off,off,adv_first,1402.94,2402.94,471.65,17.86,1.59,45.05
46,3950,105,15,48,off,on,adv_first,1402.94,2402.94,471.65,17.86,1.59,45.05
47,3950,105,15,48,on,off,adv_first,1402.94,2402.94,471.65,17.86,1.59,45.05
48,3950,105,15,48,on,on,adv_first,1402.94,2402.94,471.65,17.86,1.59,45.05
49,4025,95,15,48,off,off,adv_first,1398.36,2398.36,543.58,20.13,1.58,45.05
50,4025,95,15,48,off,on,adv_first,1398.36,2398.36,543.58,20.13,1.58,45.05
