Rank,BaseRef,TP,MinSL,Buffer,Trailing,NetPnL,FinalBalance,MaxDD_USD,MaxDD_Pct,ProfitFactor,WinRate_Pct,Trades,EquivCount
1,4025.0,100.0,7.0,1.0,10.0,1083.46,2083.46,341.64,16.07,1.56,47.44,78,54
2,4025.0,97.5,7.0,1.0,10.0,1070.96,2070.96,341.64,16.17,1.55,47.44,78,54
3,4000.0,97.5,7.0,1.0,10.0,1044.35,2044.35,342.31,16.33,1.54,46.15,78,54
4,3975.0,97.5,7.0,1.0,10.0,1017.75,2017.75,342.98,16.49,1.53,46.15,78,54
5,4025.0,102.5,7.0,1.0,10.0,1016.36,2016.36,341.64,16.6,1.53,47.44,78,54
6,4000,100,8,2,10,986.75,1986.75,342.31,16.79,1.51,46.15,78,169
7,5000,60,8,2,30,1543.85,2543.85,695.53,21.47,1.40,51.28,78,72
8,5000,55,8,2,30,1523.61,2523.61,659.53,20.72,1.40,51.28,78,72
9,4000,45,8,2,25,1510.47,2510.47,511.76,33.47,1.50,52.56,78,72
10,5000,45,8,2,30,1443.29,2443.29,709.53,22.5,1.38,51.28,78,72
11,5000,50,8,2,30,1434.22,2434.22,684.53,21.95,1.37,51.28,78,72
12,4500,50,8,2,25,1415.82,2415.82,526.49,17.89,1.43,51.28,78,72
13,4000,100,8,2,25,1404.57,2404.57,511.76,32.69,1.46,52.56,78,72
14,4500,50,8,2,30,1368.03,2368.03,613.23,39.52,1.37,51.28,78,72
15,4000,40,8,2,25,1358.96,2358.96,511.76,34.6,1.45,52.56,78,72
16,4500,60,8,2,25,1334.76,2334.76,561.38,19.38,1.41,51.28,78,72
17,5000,60,8,2,40,1333.98,2333.98,814.7,46.49,1.30,51.28,78,8
18,5000,60,8,3,40,1328.98,2328.98,814.7,46.49,1.29,51.28,78,8
19,4500,50,8,2,35,1324.67,2324.67,713.23,43.17,1.34,51.28,78,8
20,5000,60,8,4,40,1323.98,2323.98,814.7,46.49,1.29,51.28,78,8
21,4000,70,8,2,25,1323.05,2323.05,511.76,32.69,1.44,52.56,78,72
22,5000,60,8,5,40,1321.2,2321.2,814.7,46.49,1.29,51.28,78,48
23,4500,50,8,3,35,1319.67,2319.67,713.23,43.17,1.34,51.28,78,8
24,4500,50,8,4,35,1319.16,2319.16,713.23,43.17,1.33,51.28,78,56
25,4000,50,8,2,25,1318.91,2318.91,511.76,32.41,1.43,52.56,78,72
26,4000,80,8,2,25,1304.57,2304.57,511.76,32.69,1.43,52.56,78,72
27,4500,55,8,2,25,1302.43,2302.43,561.38,19.6,1.40,51.28,78,72
28,4500,45,8,2,25,1295.36,2295.36,551.49,19.37,1.39,51.28,78,72
29,4500,60,8,2,30,1288.68,2288.68,613.23,37.13,1.35,51.28,78,72
30,5000,55,8,2,40,1284.07,2284.07,814.7,47.85,1.28,51.28,78,8
