base_ref,use_scaling,trailing_dist,initial_tp_dist,min_sl_dist,sl_safety_buffer,tp_trigger,tp_ekspansi,total_trades,wins,losses,win_rate,total_net_pnl,final_balance,max_dd_usd,max_dd_pct,profit_factor
4500.0,True,25.0,25.0,10.0,2.0,15.0,30.0,78,34,44,43.59,155.11,1155.11,555.74,44.27,1.04
4500.0,True,25.0,25.0,12.0,2.0,15.0,30.0,78,34,44,43.59,155.11,1155.11,555.74,44.27,1.04
4500.0,True,25.0,25.0,15.0,2.0,15.0,30.0,78,34,44,43.59,155.11,1155.11,555.74,44.27,1.04
4500.0,True,25.0,25.0,20.0,2.0,15.0,30.0,78,34,44,43.59,153.92,1153.92,556.94,44.36,1.04
4500.0,True,25.0,25.0,10.0,3.0,15.0,30.0,78,34,44,43.59,150.25,1150.25,560.61,44.66,1.04
4500.0,True,25.0,25.0,12.0,3.0,15.0,30.0,78,34,44,43.59,150.25,1150.25,560.61,44.66,1.04
4500.0,True,25.0,25.0,15.0,3.0,15.0,30.0,78,34,44,43.59,150.25,1150.25,560.61,44.66,1.04
4500.0,True,25.0,25.0,20.0,3.0,15.0,30.0,78,34,44,43.59,150.25,1150.25,560.61,44.66,1.04
4500.0,True,25.0,25.0,10.0,5.0,15.0,30.0,78,34,44,43.59,140.52,1140.52,570.34,45.43,1.04
4500.0,True,25.0,25.0,12.0,5.0,15.0,30.0,78,34,44,43.59,140.52,1140.52,570.34,45.43,1.04
4500.0,True,25.0,25.0,15.0,5.0,15.0,30.0,78,34,44,43.59,140.52,1140.52,570.34,45.43,1.04
4500.0,True,25.0,25.0,20.0,5.0,15.0,30.0,78,34,44,43.59,140.52,1140.52,570.34,45.43,1.04
4500.0,True,25.0,25.0,10.0,8.0,15.0,30.0,78,34,44,43.59,133.85,1133.85,577.0,45.96,1.03
4500.0,True,25.0,25.0,10.0,10.0,15.0,30.0,78,34,44,43.59,133.85,1133.85,577.0,45.96,1.03
4500.0,True,25.0,25.0,12.0,8.0,15.0,30.0,78,34,44,43.59,133.85,1133.85,577.0,45.96,1.03
4500.0,True,25.0,25.0,12.0,10.0,15.0,30.0,78,34,44,43.59,133.85,1133.85,577.0,45.96,1.03
4500.0,True,25.0,25.0,15.0,8.0,15.0,30.0,78,34,44,43.59,133.85,1133.85,577.0,45.96,1.03
4500.0,True,25.0,25.0,15.0,10.0,15.0,30.0,78,34,44,43.59,133.85,1133.85,577.0,45.96,1.03
4500.0,True,25.0,25.0,20.0,8.0,15.0,30.0,78,34,44,43.59,133.85,1133.85,577.0,45.96,1.03
4500.0,True,25.0,25.0,20.0,10.0,15.0,30.0,78,34,44,43.59,133.85,1133.85,577.0,45.96,1.03
2500.0,True,15.0,25.0,10.0,2.0,10.0,20.0,78,35,43,44.87,128.51,1128.51,352.83,28.81,1.06
2500.0,True,15.0,25.0,10.0,2.0,10.0,30.0,78,35,43,44.87,128.51,1128.51,352.83,28.81,1.06
2500.0,True,15.0,25.0,12.0,2.0,10.0,20.0,78,35,43,44.87,127.81,1127.81,353.53,28.86,1.06
2500.0,True,15.0,25.0,12.0,2.0,10.0,30.0,78,35,43,44.87,127.81,1127.81,353.53,28.86,1.06
2500.0,True,15.0,25.0,10.0,3.0,10.0,20.0,78,35,43,44.87,123.36,1123.36,357.98,29.23,1.05
2500.0,True,15.0,25.0,10.0,3.0,10.0,30.0,78,35,43,44.87,123.36,1123.36,357.98,29.23,1.05
2500.0,True,15.0,25.0,12.0,3.0,10.0,20.0,78,35,43,44.87,123.36,1123.36,357.98,29.23,1.05
2500.0,True,15.0,25.0,12.0,3.0,10.0,30.0,78,35,43,44.87,123.36,1123.36,357.98,29.23,1.05
2500.0,True,15.0,25.0,10.0,5.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,10.0,5.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,10.0,8.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,10.0,8.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,10.0,10.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,10.0,10.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,12.0,5.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,12.0,5.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,12.0,8.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,12.0,8.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,12.0,10.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,12.0,10.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,2.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,2.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,3.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,3.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,5.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,5.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,8.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,8.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,10.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,15.0,10.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,2.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,2.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,3.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,3.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,5.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,5.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,8.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,8.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,10.0,10.0,20.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
2500.0,True,15.0,25.0,20.0,10.0,10.0,30.0,78,35,43,44.87,114.86,1114.86,366.48,29.92,1.05
4500.0,True,25.0,50.0,10.0,2.0,15.0,30.0,78,33,45,42.31,86.72,1086.72,555.74,44.27,1.02
4500.0,True,25.0,50.0,12.0,2.0,15.0,30.0,78,33,45,42.31,86.72,1086.72,555.74,44.27,1.02
4500.0,True,25.0,50.0,15.0,2.0,15.0,30.0,78,33,45,42.31,86.72,1086.72,555.74,44.27,1.02
4500.0,True,25.0,50.0,20.0,2.0,15.0,30.0,78,33,45,42.31,85.53,1085.53,556.94,44.36,1.02
4500.0,True,25.0,50.0,10.0,3.0,15.0,30.0,78,33,45,42.31,81.86,1081.86,560.61,44.66,1.02
4500.0,True,25.0,50.0,12.0,3.0,15.0,30.0,78,33,45,42.31,81.86,1081.86,560.61,44.66,1.02
4500.0,True,25.0,50.0,15.0,3.0,15.0,30.0,78,33,45,42.31,81.86,1081.86,560.61,44.66,1.02
4500.0,True,25.0,50.0,20.0,3.0,15.0,30.0,78,33,45,42.31,81.86,1081.86,560.61,44.66,1.02
2500.0,True,15.0,15.0,10.0,2.0,10.0,20.0,78,35,43,44.87,75.41,1075.41,352.83,28.81,1.03
2500.0,True,15.0,15.0,12.0,2.0,10.0,20.0,78,35,43,44.87,74.71,1074.71,353.53,28.86,1.03
4500.0,True,25.0,50.0,10.0,5.0,15.0,30.0,78,33,45,42.31,72.13,1072.13,570.34,45.43,1.02
4500.0,True,25.0,50.0,12.0,5.0,15.0,30.0,78,33,45,42.31,72.13,1072.13,570.34,45.43,1.02
4500.0,True,25.0,50.0,15.0,5.0,15.0,30.0,78,33,45,42.31,72.13,1072.13,570.34,45.43,1.02
4500.0,True,25.0,50.0,20.0,5.0,15.0,30.0,78,33,45,42.31,72.13,1072.13,570.34,45.43,1.02
3000.0,True,15.0,30.0,10.0,2.0,10.0,30.0,78,31,47,39.74,71.33,1071.33,386.42,32.57,1.03
3000.0,True,15.0,30.0,12.0,2.0,10.0,30.0,78,31,47,39.74,71.33,1071.33,386.42,32.57,1.03
2500.0,True,15.0,15.0,10.0,3.0,10.0,20.0,78,35,43,44.87,70.26,1070.26,357.98,29.23,1.03
2500.0,True,15.0,15.0,12.0,3.0,10.0,20.0,78,35,43,44.87,70.26,1070.26,357.98,29.23,1.03
3000.0,True,15.0,30.0,10.0,3.0,10.0,30.0,78,31,47,39.74,68.34,1068.34,389.41,32.82,1.03
3000.0,True,15.0,30.0,10.0,5.0,10.0,30.0,78,31,47,39.74,68.34,1068.34,389.41,32.82,1.03
