base_ref,base_lot,is_compound,trailing_dist,initial_tp_dist,min_sl_dist,sl_safety_buffer,be_trigger,pt_exit,total_trades,wins,losses,win_rate,total_net_pnl,final_balance,max_dd_usd,max_dd_pct,profit_factor
2000.0,0.3,False,20.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,1265.66,2265.66,1514.95,80.36,1.12
2000.0,0.3,False,20.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,1210.1,2210.1,1523.57,83.4,1.12
2000.0,0.25,False,20.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,1052.09,2052.09,1247.7,72.16,1.12
2000.0,0.25,False,20.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,1006.07,2006.07,1262.69,74.89,1.12
2000.0,0.3,False,25.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,894.89,1894.89,1782.73,85.75,1.08
2000.0,0.2,False,20.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,892.36,1892.36,1002.75,62.67,1.13
2000.0,0.2,False,20.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,855.41,1855.41,1010.53,65.05,1.12
2000.0,0.3,False,25.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,839.34,1839.34,1782.73,89.0,1.08
2000.0,0.3,False,20.0,40.0,10.0,3.0,8.0,0.0,78,38,40,48.72,781.65,1781.65,1633.23,80.36,1.08
2000.0,0.25,False,25.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,739.17,1739.17,1476.43,76.59,1.08
2000.0,0.3,False,20.0,40.0,12.0,3.0,8.0,0.0,78,38,40,48.72,726.09,1726.09,1633.23,83.4,1.07
2000.0,0.3,False,20.0,20.0,10.0,3.0,8.0,0.0,78,39,39,50.0,696.95,1696.95,1932.68,94.88,1.07
2000.0,0.25,False,25.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,693.16,1693.16,1476.43,79.48,1.07
2000.0,0.2,False,25.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,648.67,1648.67,1164.8,65.95,1.09
2000.0,0.25,False,20.0,40.0,10.0,3.0,8.0,0.0,78,38,40,48.72,646.6,1646.6,1355.2,72.16,1.07
2000.0,0.3,False,20.0,20.0,12.0,3.0,8.0,0.0,78,39,39,50.0,641.39,1641.39,1932.68,98.47,1.06
2000.0,0.15,False,20.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,617.65,1617.65,751.39,51.22,1.12
2000.0,0.2,False,25.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,611.71,1611.71,1164.8,68.46,1.08
2000.0,0.25,False,20.0,40.0,12.0,3.0,8.0,0.0,78,38,40,48.72,600.59,1600.59,1355.2,74.89,1.07
2000.0,0.15,False,20.0,35.0,12.0,3.0,8.0,0.0,78,38,40,48.72,590.23,1590.23,751.39,53.16,1.11
2000.0,0.25,False,20.0,20.0,10.0,3.0,8.0,0.0,78,39,39,50.0,578.54,1578.54,1604.37,83.72,1.07
2000.0,0.2,False,20.0,40.0,10.0,3.0,8.0,0.0,78,38,40,48.72,569.49,1569.49,1066.53,62.67,1.08
2000.0,0.15,False,20.0,20.0,10.0,3.0,8.0,350.0,78,39,39,50.0,535.36,1535.36,919.71,54.86,1.1
2000.0,0.2,False,20.0,40.0,12.0,3.0,8.0,0.0,78,38,40,48.72,532.53,1532.53,1066.53,65.05,1.08
2000.0,0.25,False,20.0,20.0,12.0,3.0,8.0,0.0,78,39,39,50.0,532.53,1532.53,1604.37,86.89,1.06
2000.0,0.15,False,20.0,25.0,10.0,3.0,8.0,350.0,78,39,39,50.0,511.02,1511.02,906.63,52.67,1.1
2000.0,0.15,False,20.0,30.0,10.0,3.0,8.0,350.0,78,39,39,50.0,511.02,1511.02,906.63,52.67,1.1
2000.0,0.15,False,20.0,35.0,10.0,3.0,8.0,350.0,78,39,39,50.0,511.02,1511.02,906.63,52.67,1.1
2000.0,0.15,False,20.0,40.0,10.0,3.0,8.0,350.0,78,39,39,50.0,511.02,1511.02,906.63,52.67,1.1
2000.0,0.15,False,20.0,20.0,12.0,3.0,8.0,350.0,78,39,39,50.0,507.94,1507.94,919.71,56.94,1.1
2000.0,0.2,False,20.0,20.0,10.0,3.0,8.0,0.0,78,39,39,50.0,499.59,1499.59,1263.23,71.13,1.07
2000.0,0.15,False,20.0,25.0,12.0,3.0,8.0,350.0,78,39,39,50.0,483.6,1483.6,906.63,54.67,1.09
2000.0,0.15,False,20.0,30.0,12.0,3.0,8.0,350.0,78,39,39,50.0,483.6,1483.6,906.63,54.67,1.09
2000.0,0.15,False,20.0,35.0,12.0,3.0,8.0,350.0,78,39,39,50.0,483.6,1483.6,906.63,54.67,1.09
2000.0,0.15,False,20.0,40.0,12.0,3.0,8.0,350.0,78,39,39,50.0,483.6,1483.6,906.63,54.67,1.09
2000.0,0.2,False,20.0,20.0,12.0,3.0,8.0,0.0,78,39,39,50.0,462.64,1462.64,1263.23,73.83,1.07
2000.0,0.15,False,25.0,35.0,10.0,3.0,8.0,0.0,78,38,40,48.72,435.44,1435.44,883.28,53.39,1.08
2000.0,0.1,False,20.0,35.0,10.0,3.0,8.0,350.0,78,38,40,48.72,430.43,1430.43,496.31,38.3,1.13
